x0,x1,x2,x3,x4,x5,y
0.0,302.1,310.5,1389.0,49.6,169.0,0
1.0,299.0,308.4,1535.0,47.5,163.0,0
0.0,298.6,309.6,1533.0,40.7,106.0,0
1.0,303.6,312.8,1400.0,43.2,23.0,0
0.0,296.0,306.7,1917.0,21.0,127.0,0
0.0,302.1,310.8,1786.0,25.7,47.0,0
0.0,300.5,309.5,1255.0,62.1,138.0,0
0.0,297.5,308.6,1552.0,44.9,77.0,0
1.0,297.7,309.2,1700.0,27.4,176.0,0
0.0,299.0,310.3,1868.0,24.0,221.0,0
0.0,298.8,309.8,1563.0,33.7,143.0,0
2.0,299.7,309.2,1468.0,49.6,132.0,0
0.0,298.6,308.3,1422.0,40.4,179.0,0
0.0,303.3,311.8,1315.0,62.0,42.0,1
0.0,300.1,309.7,1601.0,35.8,160.0,0
1.0,297.1,308.2,1529.0,37.9,183.0,0
0.0,297.6,309.0,1822.0,25.4,202.0,0
1.0,302.2,310.9,1465.0,43.5,140.0,0
1.0,299.1,308.5,1592.0,34.2,153.0,0
0.0,299.7,311.1,1574.0,36.4,135.0,0
0.0,297.4,308.4,1573.0,34.5,205.0,0
0.0,301.3,310.9,1509.0,41.7,16.0,0
0.0,301.0,309.6,1724.0,28.1,133.0,0
2.0,301.9,310.8,1455.0,42.7,85.0,0
2.0,299.7,309.2,1355.0,44.8,127.0,0
1.0,297.4,308.4,1441.0,46.8,116.0,0
0.0,301.3,310.8,1432.0,54.4,51.0,0
0.0,298.6,309.4,1698.0,33.2,147.0,0
1.0,301.4,310.6,1464.0,48.6,96.0,0
0.0,298.0,308.4,1472.0,42.0,15.0,0
1.0,299.8,309.1,1456.0,39.4,209.0,0
1.0,297.0,308.1,1363.0,45.3,196.0,0
0.0,300.4,309.9,1435.0,54.8,70.0,0
0.0,300.5,312.0,1415.0,44.6,23.0,0
2.0,295.6,306.3,1509.0,35.8,60.0,0
1.0,303.9,313.2,1422.0,48.0,215.0,1
0.0,300.6,309.8,1688.0,28.6,135.0,0
0.0,301.5,310.6,1481.0,46.8,20.0,0
0.0,299.3,308.6,1384.0,53.6,218.0,1
0.0,301.7,310.7,1605.0,33.3,220.0,0
0.0,299.8,309.4,1460.0,37.4,25.0,0
0.0,302.2,311.4,1510.0,44.9,33.0,0
0.0,298.9,309.6,1365.0,50.9,183.0,0
1.0,300.4,309.7,1440.0,42.8,104.0,0
1.0,297.9,307.9,1540.0,39.8,38.0,0
0.0,299.7,311.1,1650.0,32.4,60.0,0
0.0,299.7,311.1,1554.0,41.0,192.0,0
0.0,298.6,309.4,1315.0,55.5,28.0,0
1.0,302.2,311.6,1386.0,50.5,69.0,0
0.0,302.6,311.5,1442.0,59.8,169.0,1
1.0,299.8,309.3,1640.0,31.1,211.0,0
1.0,298.5,308.7,1615.0,33.3,41.0,0
0.0,300.0,310.1,1762.0,28.0,202.0,0
0.0,297.5,308.8,1530.0,37.8,157.0,0
0.0,297.5,309.3,1404.0,43.5,195.0,0
0.0,300.0,311.2,1504.0,37.9,58.0,0
1.0,302.1,311.5,1635.0,31.6,23.0,0
0.0,298.2,308.0,1411.0,42.4,48.0,0
0.0,299.0,310.4,1606.0,31.1,134.0,0
1.0,296.1,307.1,1433.0,38.5,14.0,0
0.0,298.6,308.2,1390.0,51.4,168.0,0
0.0,301.9,310.7,1405.0,48.8,78.0,0
0.0,296.8,307.6,1304.0,48.7,142.0,0
1.0,301.2,310.9,1359.0,50.8,118.0,0
0.0,298.2,307.8,1355.0,59.4,115.0,0
1.0,298.1,308.1,1390.0,49.8,85.0,0
0.0,300.8,310.8,1564.0,36.2,31.0,0
0.0,299.8,309.5,1545.0,32.2,18.0,0
1.0,303.4,312.8,1518.0,38.7,103.0,0
2.0,300.9,310.7,1656.0,30.7,200.0,0
2.0,301.9,310.5,1472.0,39.7,187.0,0
0.0,299.8,309.3,1291.0,56.4,188.0,0
0.0,298.1,308.5,1676.0,30.5,22.0,0
0.0,301.3,310.3,1626.0,31.3,180.0,0
0.0,303.6,312.4,1781.0,28.7,124.0,0
0.0,300.0,310.5,1517.0,42.2,186.0,0
1.0,303.9,313.1,1483.0,47.2,71.0,0
1.0,302.5,312.0,1447.0,45.7,210.0,0
0.0,298.1,307.9,2161.0,17.5,5.0,0
1.0,295.7,306.3,1347.0,50.4,46.0,0
1.0,297.4,308.7,1798.0,23.0,135.0,0
0.0,296.2,307.2,1382.0,52.0,201.0,0
0.0,300.1,309.7,1362.0,49.1,23.0,0
0.0,299.0,310.1,1375.0,48.9,59.0,0
0.0,295.5,306.1,1573.0,35.1,129.0,0
0.0,298.6,309.8,1332.0,46.4,76.0,0
0.0,303.5,312.8,1877.0,22.3,96.0,0
0.0,304.2,313.6,1411.0,46.0,149.0,0
1.0,300.3,311.7,1374.0,47.9,222.0,1
0.0,302.3,311.4,1476.0,37.3,20.0,0
0.0,300.3,309.2,1398.0,54.4,198.0,0
0.0,297.4,308.3,1801.0,26.9,11.0,0
2.0,301.9,311.0,1291.0,63.6,137.0,0
