x0,x1,x2,x3,x4,x5,x6,y
0.0,3980.0,177.0,195.0,6.0,1145.0,104.0,0
15.0,2492.0,79.0,198.0,6.0,1035.0,155.0,0
15.0,1566.0,172.0,214.0,1.0,900.0,245.0,1
5.0,2806.0,253.0,197.0,5.0,360.0,222.0,0
1.0,1292.0,264.0,80.0,3.0,530.0,170.0,0
5.0,1053.0,172.0,16.0,6.0,765.0,120.0,0
15.0,607.0,45.0,43.0,5.0,715.0,65.0,1
5.0,2105.0,197.0,253.0,6.0,675.0,243.0,0
1.0,705.0,80.0,227.0,4.0,605.0,190.0,0
13.0,881.0,35.0,208.0,4.0,545.0,173.0,0
1.0,2464.0,80.0,204.0,1.0,875.0,55.0,1
1.0,1442.0,208.0,78.0,5.0,1000.0,105.0,0
6.0,5175.0,190.0,16.0,4.0,940.0,75.0,0
15.0,616.0,75.0,91.0,3.0,1145.0,105.0,1
1.0,1970.0,80.0,33.0,4.0,1090.0,100.0,0
6.0,5141.0,16.0,200.0,7.0,590.0,83.0,0
5.0,2963.0,197.0,16.0,3.0,860.0,151.0,1
7.0,403.0,79.0,154.0,1.0,525.0,146.0,0
7.0,486.0,184.0,173.0,1.0,870.0,164.0,0
13.0,28.0,154.0,148.0,4.0,980.0,320.0,0
15.0,767.0,85.0,268.0,4.0,555.0,105.0,0
15.0,3079.0,268.0,175.0,4.0,1025.0,60.0,1
10.0,3967.0,208.0,205.0,3.0,470.0,95.0,1
0.0,4007.0,177.0,75.0,1.0,830.0,93.0,0
17.0,2652.0,198.0,60.0,6.0,665.0,114.0,1
4.0,1178.0,208.0,96.0,4.0,405.0,123.0,0
12.0,6268.0,253.0,280.0,7.0,493.0,119.0,0
8.0,215.0,184.0,241.0,3.0,520.0,178.0,0
12.0,6462.0,153.0,154.0,3.0,1075.0,80.0,0
16.0,2094.0,85.0,96.0,4.0,385.0,97.0,0
1.0,461.0,22.0,183.0,6.0,880.0,195.0,1
1.0,1272.0,227.0,80.0,7.0,720.0,165.0,1
12.0,6812.0,265.0,208.0,6.0,567.0,58.0,1
5.0,2886.0,16.0,159.0,3.0,1240.0,143.0,1
3.0,184.0,243.0,148.0,3.0,755.0,319.0,1
10.0,4225.0,117.0,208.0,1.0,800.0,65.0,0
16.0,2806.0,96.0,172.0,3.0,886.0,194.0,0
11.0,6756.0,233.0,268.0,3.0,620.0,147.0,0
8.0,133.0,16.0,277.0,6.0,530.0,75.0,0
12.0,7035.0,154.0,214.0,7.0,750.0,141.0,0
5.0,1159.0,186.0,16.0,3.0,1023.0,101.0,0
16.0,5928.0,208.0,157.0,5.0,785.0,71.0,1
10.0,2833.0,80.0,56.0,6.0,475.0,115.0,0
5.0,2257.0,261.0,252.0,6.0,1005.0,130.0,0
11.0,6578.0,58.0,85.0,3.0,420.0,59.0,0
14.0,1825.0,35.0,216.0,4.0,1110.0,106.0,0
5.0,1762.0,33.0,85.0,3.0,375.0,126.0,0
15.0,2765.0,45.0,209.0,6.0,765.0,50.0,1
17.0,2748.0,217.0,248.0,6.0,667.0,105.0,1
16.0,3034.0,65.0,135.0,6.0,660.0,127.0,0
0.0,4244.0,85.0,21.0,4.0,735.0,53.0,1
5.0,269.0,148.0,183.0,3.0,490.0,200.0,0
15.0,1045.0,243.0,262.0,3.0,1260.0,95.0,1
5.0,1301.0,16.0,18.0,7.0,510.0,166.0,0
9.0,280.0,203.0,150.0,6.0,935.0,32.0,0
1.0,1931.0,253.0,154.0,3.0,875.0,80.0,0
1.0,1074.0,205.0,80.0,3.0,675.0,115.0,0
4.0,60.0,135.0,96.0,6.0,725.0,205.0,0
13.0,237.0,221.0,253.0,4.0,415.0,353.0,0
15.0,2005.0,79.0,153.0,7.0,530.0,120.0,0
8.0,1292.0,119.0,173.0,1.0,760.0,155.0,0
4.0,866.0,252.0,135.0,5.0,1430.0,237.0,1
13.0,382.0,208.0,134.0,7.0,526.0,109.0,0
3.0,184.0,243.0,148.0,6.0,755.0,319.0,1
15.0,2445.0,44.0,217.0,5.0,1210.0,80.0,1
1.0,1475.0,80.0,153.0,7.0,800.0,190.0,1
16.0,3138.0,135.0,244.0,1.0,615.0,59.0,0
5.0,1444.0,85.0,78.0,3.0,445.0,103.0,0
12.0,6551.0,172.0,208.0,4.0,1013.0,92.0,0
10.0,2991.0,80.0,73.0,4.0,640.0,140.0,0
11.0,6744.0,61.0,78.0,3.0,660.0,82.0,1
10.0,4253.0,208.0,136.0,6.0,485.0,115.0,0
12.0,6286.0,153.0,227.0,5.0,859.0,59.0,1
5.0,2564.0,71.0,148.0,6.0,920.0,132.0,1
3.0,326.0,104.0,22.0,6.0,1123.0,172.0,0
15.0,3222.0,251.0,268.0,7.0,1130.0,70.0,1
5.0,1026.0,85.0,16.0,7.0,721.0,129.0,0
1.0,726.0,91.0,80.0,6.0,465.0,105.0,0
14.0,24.0,217.0,154.0,1.0,515.0,85.0,0
5.0,1764.0,197.0,78.0,7.0,600.0,143.0,0
14.0,16.0,253.0,217.0,7.0,725.0,116.0,0
5.0,487.0,159.0,213.0,1.0,915.0,189.0,0
1.0,440.0,80.0,205.0,7.0,1115.0,105.0,1
4.0,1700.0,104.0,96.0,6.0,480.0,162.0,0
17.0,2622.0,60.0,134.0,3.0,705.0,85.0,0
16.0,2660.0,290.0,135.0,5.0,385.0,104.0,0
5.0,1212.0,203.0,154.0,6.0,1355.0,310.0,1
10.0,4476.0,78.0,148.0,7.0,715.0,65.0,0
5.0,1952.0,61.0,16.0,5.0,585.0,101.0,0
4.0,132.0,243.0,135.0,7.0,400.0,188.0,1
15.0,1105.0,175.0,251.0,3.0,740.0,65.0,1
5.0,1616.0,79.0,16.0,4.0,440.0,168.0,0
