x0,x1,x2,x3,x4,x5,x6,x7,y
0.473961,6.0,0.404255,0.029723,0.624517,0.001959,0.492491,0.592982,0
0.469316,6.0,0.723404,0.049628,0.514579,0.003276,0.449767,0.405702,0
0.881067,2.0,0.085106,0.025039,0.163344,0.001608,0.302434,0.774561,0
0.871731,4.0,0.680851,0.050648,0.460577,0.003394,0.531849,0.504386,0
0.438742,3.0,0.617021,0.057614,0.509372,0.003467,0.422915,0.414912,1
0.031503,4.0,0.93617,0.10496,0.431568,0.003467,0.422915,0.414912,1
0.451352,3.0,0.212766,0.037739,0.267182,0.000976,0.267219,0.794298,0
0.908013,5.0,0.744681,0.041972,0.457751,0.002869,0.448731,0.334649,0
0.434184,4.0,0.808511,0.060046,0.518596,0.003467,0.422915,0.414912,0
0.464493,1.0,0.042553,0.030833,0.23252,0.002098,0.36639,0.380702,1
0.889739,3.0,0.06383,0.067101,0.457899,0.00447,0.490678,0.542982,1
0.903102,6.0,0.468085,0.085175,0.52053,0.005708,0.547385,0.467105,1
0.030707,7.0,0.234043,0.071394,0.098929,0.003467,0.422915,0.414912,1
0.88151,5.0,0.638298,0.027321,0.461321,0.001867,0.539099,0.272807,0
0.908013,5.0,0.361702,0.085205,0.53615,0.005814,0.590109,0.314035,1
0.911641,4.0,0.255319,0.051879,0.417733,0.003413,0.555671,0.561404,0
0.44352,7.0,0.702128,0.055842,0.520678,0.003745,0.38581,0.580702,1
0.871422,2.0,0.574468,0.09244,0.75305,0.006192,0.83972,0.382456,1
0.008628,2.0,0.382979,0.074817,0.669741,0.003467,0.422915,0.414912,0
0.871731,2.0,0.659574,0.028372,0.535704,0.00182,0.558778,0.690351,1
0.906995,3.0,0.808511,0.089738,0.517852,0.006153,0.834801,0.066667,1
0.030972,6.0,0.297872,0.087366,0.330556,0.003467,0.422915,0.414912,1
0.911376,5.0,0.382979,0.05281,0.548944,0.003471,0.571983,0.534649,0
8.8e-05,4.0,0.659574,0.046956,0.442428,0.003467,0.422915,0.414912,1
0.46113,2.0,0.361702,0.042002,0.487057,0.002919,0.51217,0.276754,1
0.017521,2.0,0.468085,0.080581,0.564267,0.003467,0.422915,0.414912,0
0.027565,6.0,0.148936,0.049688,0.095061,0.003467,0.422915,0.414912,0
0.872262,7.0,0.914894,0.032935,0.338441,0.001838,0.24262,0.835088,1
0.008893,1.0,0.829787,0.075117,0.738619,0.003467,0.422915,0.414912,1
0.004203,7.0,0.297872,0.043833,0.153526,0.003467,0.422915,0.414912,0
0.456705,6.0,0.361702,0.037108,0.59997,0.002524,0.570171,0.498684,1
0.469493,3.0,0.595745,0.043113,0.494049,0.002896,0.465562,0.444737,1
0.47436,1.0,0.957447,0.02591,0.241595,0.001712,0.151217,0.898684,1
0.459935,3.0,0.234043,0.029242,0.250967,0.001984,0.237183,0.582895,0
0.43883,5.0,0.06383,0.057314,0.270902,0.003467,0.422915,0.414912,0
0.446794,5.0,0.510638,0.043653,0.528563,0.003,0.52175,0.489035,0
0.903146,7.0,0.787234,0.089138,0.453883,0.005879,0.429829,0.548246,1
0.429848,6.0,0.06383,0.049838,0.182832,0.003467,0.422915,0.414912,0
0.464448,7.0,0.170213,0.023898,0.109194,0.001602,0.205593,0.625439,0
0.022964,6.0,0.87234,0.076318,0.321184,0.003467,0.422915,0.414912,1
0.915667,4.0,0.404255,0.056833,0.546564,0.003874,0.626877,0.335965,0
0.452015,4.0,0.659574,0.036748,0.594317,0.002499,0.59477,0.332895,0
0.451573,1.0,0.87234,0.044164,0.689081,0.002422,0.429052,0.726316,1
0.009247,2.0,0.93617,0.1312,0.639691,0.003467,0.422915,0.414912,1
0.871554,5.0,0.510638,0.061337,0.698304,0.004063,0.722165,0.352632,1
0.017787,1.0,0.06383,0.044974,0.239215,0.003467,0.422915,0.414912,0
1.0,2.0,0.361702,0.055152,0.549985,0.003756,0.627395,0.342982,0
0.867572,5.0,0.148936,0.021827,0.16632,0.000837,0.2232,0.902632,0
0.45613,7.0,0.382979,0.032635,0.593127,0.001865,0.364578,0.681579,0
0.014336,6.0,0.042553,0.075177,0.497173,0.003467,0.422915,0.414912,1
0.442326,7.0,0.382979,0.05257,0.344987,0.003467,0.422915,0.414912,1
4.4e-05,3.0,0.808511,0.040711,0.51086,0.003467,0.422915,0.414912,0
0.45175,5.0,0.574468,0.033626,0.567242,0.002243,0.66028,0.405702,0
0.456263,3.0,0.510638,0.035817,0.543142,0.002432,0.577162,0.486842,0
0.008938,2.0,0.617021,0.074967,0.51443,0.003467,0.422915,0.414912,0
0.915623,3.0,0.191489,0.055212,0.238173,0.003687,0.269032,0.619298,0
0.005442,7.0,0.170213,0.042122,0.108004,0.003467,0.422915,0.414912,0
0.460201,2.0,0.617021,0.035817,0.48914,0.002503,0.527706,0.230702,1
0.000221,7.0,0.212766,0.063889,0.064267,0.003467,0.422915,0.414912,1
0.022256,4.0,0.510638,0.074937,0.489289,0.003467,0.422915,0.414912,1
0.885271,6.0,0.148936,0.027381,0.19042,0.001789,0.268255,0.713158,0
0.885226,5.0,0.531915,0.033686,0.52529,0.002349,0.468928,0.306579,0
0.438078,2.0,0.297872,0.068362,0.41922,0.003467,0.422915,0.414912,0
0.447679,4.0,0.382979,0.077039,0.735049,0.005326,0.700155,0.362281,1
0.902703,4.0,0.021277,0.075808,0.469354,0.005017,0.479803,0.608772,0
0.017743,7.0,0.829787,0.070914,0.443618,0.003467,0.422915,0.414912,1
0.893677,5.0,0.553191,0.028852,0.492264,0.002048,0.613154,0.248246,0
0.009734,6.0,0.446809,0.041732,0.57349,0.003467,0.422915,0.414912,0
0.91142,6.0,0.361702,0.050228,0.547159,0.003313,0.557483,0.522368,1
