x0,x1,x2,x3,x4,x5,y
2.0,298.8,309.6,1309.0,57.4,185.0,0
0.0,298.9,310.1,1523.0,39.1,53.0,0
1.0,299.9,309.3,1389.0,52.8,0.0,0
0.0,297.3,308.2,1446.0,53.5,7.0,0
0.0,297.4,308.6,1439.0,51.9,188.0,0
0.0,300.4,311.1,2013.0,20.1,195.0,0
1.0,302.2,310.4,1456.0,47.5,167.0,0
0.0,299.4,309.3,1596.0,31.8,40.0,0
0.0,298.8,308.9,1852.0,25.0,57.0,0
1.0,302.3,311.2,1454.0,43.8,112.0,0
1.0,302.0,310.9,1352.0,55.5,59.0,0
2.0,300.5,309.3,1471.0,45.2,223.0,0
0.0,300.6,311.8,1652.0,27.2,52.0,0
1.0,303.5,312.7,2116.0,16.7,45.0,0
1.0,298.2,309.0,1353.0,50.3,150.0,0
1.0,297.4,308.2,1536.0,34.6,4.0,0
1.0,298.1,308.7,1547.0,38.9,0.0,0
2.0,303.4,311.9,1534.0,33.2,210.0,0
0.0,297.5,308.7,1456.0,44.7,29.0,0
1.0,303.1,312.3,1623.0,31.6,101.0,0
0.0,296.8,307.8,1565.0,39.5,124.0,0
1.0,297.6,308.1,1379.0,57.4,122.0,0
0.0,301.8,310.7,2092.0,18.6,51.0,0
1.0,296.9,307.5,1556.0,31.2,116.0,0
0.0,301.7,310.5,1377.0,43.1,183.0,0
1.0,300.7,310.7,1347.0,46.5,183.0,0
2.0,300.8,310.9,1425.0,44.0,33.0,0
0.0,298.8,309.8,1485.0,42.4,74.0,0
1.0,298.2,308.9,1614.0,35.5,15.0,0
0.0,301.8,310.7,1644.0,33.4,68.0,0
1.0,300.6,311.7,1389.0,52.1,210.0,0
1.0,299.0,309.0,1575.0,35.3,47.0,0
2.0,304.1,313.2,1590.0,43.4,52.0,0
1.0,299.7,311.2,1560.0,43.9,126.0,0
0.0,302.2,311.4,1510.0,44.9,33.0,0
2.0,297.9,307.9,1406.0,58.5,93.0,0
1.0,297.4,308.4,1478.0,46.2,95.0,0
0.0,299.5,309.3,1422.0,49.2,179.0,0
2.0,300.7,312.1,1490.0,43.1,159.0,0
0.0,301.8,311.0,1322.0,53.0,166.0,0
1.0,297.4,308.5,1412.0,45.5,49.0,0
0.0,296.9,307.9,1626.0,29.9,177.0,0
1.0,298.9,309.8,1353.0,53.7,71.0,0
0.0,298.3,309.6,1420.0,44.1,197.0,0
1.0,297.6,308.4,1611.0,31.0,48.0,0
0.0,300.8,310.7,1589.0,34.3,144.0,0
1.0,298.1,307.9,1759.0,28.6,176.0,0
2.0,297.5,308.1,1548.0,38.2,117.0,0
0.0,297.0,307.7,1502.0,39.4,126.0,0
1.0,300.7,311.0,1413.0,44.3,72.0,0
1.0,299.6,309.0,1539.0,36.1,76.0,0
2.0,298.0,307.4,1606.0,35.2,195.0,0
0.0,299.0,310.2,1682.0,28.8,49.0,0
0.0,301.2,310.8,1233.0,64.6,45.0,0
0.0,300.7,310.6,1654.0,34.2,89.0,0
0.0,302.7,310.6,1690.0,26.7,4.0,0
0.0,301.9,310.5,1892.0,21.8,177.0,0
2.0,300.7,310.8,1346.0,52.0,193.0,0
1.0,300.1,310.3,1350.0,48.8,50.0,0
0.0,298.3,309.4,1356.0,45.4,96.0,0
0.0,297.4,308.3,1347.0,45.8,43.0,0
0.0,301.8,311.0,1606.0,33.3,4.0,0
0.0,299.1,308.5,1371.0,55.5,159.0,0
2.0,300.2,311.6,1662.0,28.8,162.0,0
0.0,302.5,311.9,1452.0,47.4,77.0,0
0.0,300.9,311.0,1316.0,56.5,120.0,0
