x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,y
5398.9289,2.451165,1.159567,1.739412,4.49686,-0.904101,-1.832102,-9.09774,6319.8501,2.702199,1.412878,2.142162,5.474243,-0.980931,-1.66949,-6.814161,16186.6695,6.492588,7.053858,15.596079,21.027992,-3.831595,-6.029667,-15.060561,16768.9636,6.322323,7.256291,16.165196,19.90463,-3.949639,-6.158817,-16.054039,1564.1676,2.138765,0.689205,2.418156,4.382485,-0.364805,-0.810355,-4.205483,1629.2361,2.184865,0.707884,2.370133,4.228331,-0.380748,-0.825069,-3.426836,16881.4053,6.242655,8.467212,24.195256,32.231677,-4.243289,-7.12024,-15.564122,18223.1047,6.311802,9.395089,27.4517,34.218625,-4.715504,-8.384361,-18.160288,5077.2534,2.006872,0.989247,1.413827,4.610218,-0.681651,-1.11036,-4.304308,3421.1464,1.797278,0.642936,0.975583,3.366745,-0.440814,-0.771759,-3.308183,17940.7117,6.205848,7.669444,15.727349,19.620545,-4.021917,-5.999521,-11.771285,14722.9626,6.142056,6.155167,13.434752,16.880401,-3.355664,-5.0004,-9.560817,2981.9364,2.791577,1.347027,4.6343,7.806112,-0.68697,-1.179607,-3.371307,3331.7102,3.014309,1.440766,4.547357,7.386336,-0.756129,-1.270183,-3.067513,18344.2041,6.141736,9.241859,27.389074,35.072878,-4.500124,-7.432052,-12.820738,15890.1594,5.867938,7.58733,21.693724,27.448274,-3.77877,-5.945934,-11.834909,1
4260.8619,2.03764,0.981141,1.512493,4.368647,-0.779836,-1.334578,-5.412328,43782.9277,2.628905,14.846665,24.303516,40.812774,-8.807309,-12.893408,-48.251565,6684.4878,2.08846,2.044809,3.338466,8.240739,-1.639579,-2.787479,-9.61098,7012.3145,2.086324,2.101984,3.370241,7.724615,-1.663353,-2.90464,-9.398071,2225.3323,1.887874,0.79574,1.742886,4.172264,-0.594923,-1.131555,-4.324652,2038.9675,1.831341,0.739445,1.611432,4.922427,-0.54269,-1.087136,-4.901826,11775.6192,2.515812,3.86609,6.670297,12.413809,-2.810302,-5.059235,-15.816265,12455.1582,2.524802,4.096265,7.197756,13.196376,-3.069418,-5.681758,-15.319915,28680.7167,2.389856,8.394975,13.117232,22.998188,-4.963951,-7.112959,-26.746918,15789.0547,1.969576,4.647543,7.404379,13.14523,-2.79201,-4.196008,-13.369109,9228.603,2.242853,2.827098,4.112677,7.273743,-2.046516,-3.197908,-8.380002,11298.1406,2.796405,3.11588,4.539969,7.624436,-2.317943,-3.571319,-9.152413,3113.5806,1.930194,1.09338,2.347745,4.557657,-0.766903,-1.287301,-3.989412,2875.9206,1.846823,1.013733,2.061211,3.838142,-0.712014,-1.233414,-3.451696,14263.4013,2.615779,4.704773,7.741668,12.209759,-3.202673,-5.368859,-12.326,14770.0679,2.821576,4.495693,7.115621,10.377435,-3.176893,-5.309341,-11.584784,5
8017.092,3.290576,1.741072,2.449773,6.331347,-1.259093,-1.979542,-6.640222,128242.8614,5.876305,34.913878,53.564415,75.197216,-23.803529,-36.738321,-158.427342,24078.815,4.910841,6.560342,10.830103,17.30953,-5.506586,-8.610385,-24.582854,23731.8511,4.665184,6.401707,10.579225,14.574693,-5.391681,-8.257797,-21.17234,4556.0505,2.82539,1.576938,3.710068,6.459449,-1.042303,-1.928027,-6.516163,3972.1501,2.624229,1.378829,3.508431,6.183538,-0.888476,-1.619069,-5.038214,30244.9082,4.922747,9.37646,17.53172,24.247244,-7.534845,-12.724597,-29.723341,31438.3379,4.827335,9.712227,18.286309,25.178483,-7.890893,-13.550594,-31.890424,92674.2539,5.295953,23.402405,31.617162,47.801835,-15.944054,-24.387238,-97.580728,64483.4843,4.787178,15.016859,19.857894,32.620279,-11.160158,-15.560646,-56.188424,29341.3477,5.24635,7.816049,11.078956,15.414978,-6.73892,-9.652512,-20.291684,23184.7085,4.916891,6.107674,8.971473,12.593491,-5.267313,-7.514693,-15.645865,6506.4487,2.883789,2.157084,5.837188,8.422381,-1.452031,-2.367529,-5.454395,6493.5315,2.872694,2.145604,5.747636,8.526777,-1.422718,-2.319613,-5.166366,36987.0322,5.483349,11.020072,18.588053,24.033246,-9.516921,-15.610613,-30.664862,31291.2568,5.164807,9.489152,16.695561,20.513507,-7.911284,-12.802206,-25.966348,4
55856.9239,8.487024,17.501157,27.562757,37.571756,-10.767394,-14.99585,-40.091693,57925.2299,8.48408,18.764724,30.384317,39.405469,-10.889324,-15.792895,-46.485371,8837.6043,3.682158,2.500578,4.04485,7.730678,-1.713177,-2.848454,-11.074803,9086.9468,3.585497,2.557155,4.15391,10.839256,-1.713268,-2.793435,-9.955834,2197.0265,2.338479,0.752465,1.945545,4.461223,-0.47005,-0.932122,-4.610295,2299.7601,2.362644,0.796098,2.107758,4.628366,-0.489878,-0.990468,-4.278422,13972.458,4.426962,4.266285,7.603687,11.730761,-2.867697,-5.013648,-15.63294,14862.7471,4.42666,4.533184,8.229407,12.457336,-3.132271,-5.528269,-15.115623,36318.3721,4.461658,10.204971,15.653228,21.738383,-5.666416,-7.912488,-24.109261,21523.3545,3.546172,5.971233,8.94176,24.738365,-3.183578,-4.570035,-13.263382,10911.5615,3.571666,2.897368,4.922214,13.302737,-2.084855,-3.095186,-7.867953,11932.2466,3.912265,2.967615,4.362831,10.769535,-2.291563,-3.408713,-8.50982,3939.4143,2.82029,1.370353,3.346176,5.494323,-0.767004,-1.21591,-3.330694,3826.0174,2.797004,1.335172,3.149566,5.159481,-0.737848,-1.234588,-3.379543,17115.0635,4.163549,4.983622,8.245284,11.606736,-3.501151,-5.799142,-12.337417,16158.4151,4.172761,4.535353,7.297694,10.979043,-3.219995,-5.188436,-11.573772,5
45965.2451,7.310723,11.551107,16.125952,24.860286,-6.937688,-10.317317,-46.981664,45083.5547,7.770335,12.544082,18.854904,29.417879,-6.923644,-10.314079,-43.05698,4558.0066,2.995135,1.348401,2.82848,7.22747,-0.858842,-1.644769,-6.947441,4826.6931,2.968376,1.390142,2.763172,7.021383,-0.882196,-1.56222,-9.184585,2710.9261,3.265215,1.00654,2.487276,5.913933,-0.6216,-1.363811,-5.096893,2275.6881,3.156374,0.849811,2.057219,6.322156,-0.517823,-1.06543,-6.030893,7790.6755,4.003902,2.466499,5.104372,8.90081,-1.568257,-2.708955,-9.729964,8154.2744,3.999961,2.584228,5.448487,10.118259,-1.635221,-3.010217,-10.413324,41362.3593,5.891164,10.209687,14.549452,27.677187,-5.783779,-9.628125,-52.272045,25729.8774,4.694978,5.883186,8.402239,17.356539,-3.586457,-5.83545,-27.105249,4908.4509,3.015598,1.411108,2.848563,7.203336,-0.907591,-1.797261,-7.472802,5337.3784,3.44121,1.428285,2.7237,9.55079,-0.962352,-1.818748,-9.28625,2657.0419,3.524871,1.029135,2.700934,8.434749,-0.597048,-1.35114,-7.277056,2376.4016,3.379426,0.918333,2.341477,7.783294,-0.529465,-1.144015,-6.160847,8206.5542,4.010151,2.531446,4.923627,10.288296,-1.675387,-3.041657,-11.376159,7748.4602,4.295829,2.400402,4.964263,9.829152,-1.608163,-3.017937,-8.968508,5
9713.3022,2.829558,2.784298,3.774114,7.178611,-1.756915,-2.592792,-8.572967,23587.1006,3.601217,7.304415,10.151146,16.636191,-4.547226,-6.496448,-20.652677,26679.0034,9.103278,11.474825,27.262333,33.641669,-6.217464,-9.543916,-23.996265,27594.7214,8.891487,11.838727,27.813865,35.980471,-6.398819,-9.855615,-22.753794,2770.4032,2.65479,1.125427,3.796714,7.058005,-0.636722,-1.20056,-4.222424,2697.845,2.643811,1.069347,3.577064,5.602093,-0.607285,-1.158627,-4.382937,27296.1529,7.744853,13.037712,37.991878,51.288479,-6.634452,-11.015644,-23.723716,29565.0948,7.948499,14.53965,43.642527,56.568324,-7.338295,-12.244818,-29.689932,12259.5048,2.086184,3.304914,4.495365,8.654933,-2.273993,-3.214821,-10.538601,7537.0234,1.750568,2.053143,2.890546,6.017653,-1.381618,-2.095029,-6.574729,29528.0898,8.444978,12.419936,27.763323,33.118312,-6.444764,-9.692139,-19.872481,25073.57,8.446252,10.286324,23.831189,29.91671,-5.53738,-8.03606,-15.560175,4910.4171,3.41044,2.062444,6.645563,9.277896,-1.136432,-1.912877,-4.64457,5374.0041,3.585448,2.185117,6.683192,9.682665,-1.214715,-1.914836,-4.002293,30218.3946,7.56615,14.585138,44.650682,57.052298,-7.142288,-11.694052,-22.165984,26263.8076,7.109737,12.037718,35.709395,45.610363,-6.072139,-9.459088,-17.550703,1
254426.3515,5.341594,64.316462,91.367057,111.413926,-45.82385,-69.077098,-346.36441,218850.2188,4.573953,57.565801,85.624639,101.356763,-38.733222,-58.333883,-244.378223,23010.9082,4.931453,5.39278,7.175504,8.166331,-5.073438,-7.111454,-11.718856,22213.3199,4.683,5.237047,7.226161,8.171375,-4.880534,-6.955716,-10.841647,6447.1645,2.695137,1.989015,4.462035,5.46376,-1.444595,-2.158962,-3.53399,6115.9162,2.646864,1.833799,4.070515,5.100479,-1.330488,-1.964272,-3.195455,31819.4072,5.21238,8.2141,11.946486,12.97128,-7.722077,-11.837112,-16.065161,32826.0015,5.157105,8.62252,12.902683,14.417362,-8.096562,-12.415291,-18.021814,142725.0195,4.639552,35.93658,48.810213,64.254942,-24.308152,-33.008073,-134.627122,131657.5703,4.614049,31.783324,42.210504,59.277719,-21.769688,-30.020223,-126.604161,28460.7309,5.48662,6.55704,8.0022,10.387706,-6.330251,-8.858226,-14.050867,22866.9321,5.209258,5.223813,6.456522,7.926063,-5.090882,-7.082683,-11.28702,7450.4668,2.827343,2.257653,5.170224,6.669214,-1.673905,-2.63344,-4.627997,7507.2823,2.808913,2.185374,4.860871,5.988637,-1.608937,-2.425966,-4.173863,39009.3081,5.990673,9.915754,13.246051,14.855562,-9.858093,-15.402041,-24.745957,34952.2359,5.698082,8.851779,12.232264,13.591954,-8.669607,-13.408382,-21.615225,4
56393.8028,2.963945,9.416297,13.96725,28.617783,-8.529327,-13.372153,-53.752171,53546.2969,2.796049,9.478369,15.192679,34.052287,-8.291199,-13.890868,-66.864515,7396.9204,2.189694,1.359179,2.639382,6.905336,-1.235853,-2.182218,-10.218369,7500.2749,2.149622,1.372013,2.399905,6.281997,-1.225575,-2.147198,-10.046702,1407.4841,1.611281,0.337251,0.79453,3.895834,-0.277003,-0.657842,-4.126933,1365.0722,1.596238,0.330346,0.879652,3.699953,-0.261103,-0.675196,-4.583295,9555.8506,2.259345,1.919403,3.620898,8.578652,-1.69708,-2.966011,-13.022818,10047.4737,2.247987,2.014092,3.887907,9.332071,-1.777887,-3.127216,-13.983703,36170.168,2.536729,5.527737,7.981309,20.632532,-5.155448,-7.770636,-33.139375,24692.1055,2.358714,3.541666,4.908393,12.610224,-3.534725,-5.259246,-18.954727,8716.1919,2.24048,1.500735,2.410605,5.168882,-1.375832,-2.096,-7.220342,6638.7363,2.181839,1.159294,1.928385,4.245928,-1.058028,-1.647525,-5.021495,2414.7266,1.735936,0.56778,1.241599,3.700652,-0.412373,-0.710573,-2.974983,2433.0583,1.732586,0.569772,1.229395,3.519919,-0.411155,-0.692845,-2.658918,11015.749,2.356505,2.015764,3.580393,6.752596,-1.871902,-2.697995,-7.685053,9399.0088,2.287926,1.773801,3.132089,6.526714,-1.610732,-2.424305,-7.587869,4
49320.331,9.061583,12.773647,17.609068,26.096973,-9.041078,-17.591372,-34.581086,49925.9048,9.587998,13.491493,18.739553,27.574481,-9.209243,-13.081828,-39.071656,27702.1975,9.611504,11.274218,25.022402,31.181226,-5.898372,-9.15039,-23.767078,28658.7664,9.28757,11.572097,25.007409,30.290984,-6.044972,-9.199319,-23.035733,2805.0291,2.732356,1.027045,3.086943,5.456028,-0.578158,-1.073073,-4.401078,2818.9687,2.743567,1.052796,3.365812,6.783647,-0.572443,-1.089513,-4.60153,28718.0622,8.674113,13.034811,34.832773,44.95637,-6.364653,-10.417109,-26.877368,31110.7654,8.677079,14.305545,38.662502,49.074876,-6.964644,-11.360389,-29.251986,30811.6069,4.909737,7.024978,9.007237,13.217074,-5.030574,-6.942047,-20.009607,20071.6801,3.790918,4.471993,5.815843,8.917546,-3.014571,-4.259569,-12.315149,29564.6665,9.090502,11.84803,24.772249,29.654113,-5.990629,-8.474189,-18.113706,23918.7657,8.973259,9.45488,20.243368,24.906999,-4.905818,-7.030028,-16.273202,5361.5835,3.439055,2.209524,6.743656,10.379926,-1.099082,-1.869737,-3.98047,5796.159,3.665473,2.342831,6.925983,9.511024,-1.182051,-1.868578,-4.294207,30772.2758,8.480337,13.862904,38.947615,48.822322,-6.64882,-10.704297,-19.723257,26370.351,8.076943,11.529061,31.717865,39.509025,-5.658385,-8.965042,-16.876056,1
41349.5722,3.337205,10.841555,15.680771,24.830733,-8.9903,-14.440218,-40.432443,34998.9648,3.030377,9.320874,14.157271,29.249111,-7.856915,-12.38274,-37.592054,13050.2051,3.437707,3.838882,6.321789,11.232211,-3.120998,-5.064944,-14.450459,13163.5074,3.332986,3.863327,6.400335,10.503979,-3.121251,-4.909905,-12.980529,2566.0933,2.197021,0.959375,2.52108,5.453805,-0.678323,-1.398239,-4.906316,2275.6529,2.065352,0.859574,2.366863,4.652129,-0.591705,-1.177932,-4.574072,16363.3853,3.474749,5.522847,9.891221,14.534425,-4.237319,-6.923277,-17.943651,17228.9839,3.489225,5.839002,10.949285,16.298758,-4.546552,-7.866019,-18.628394,33039.1328,2.991726,7.829861,10.826785,19.799618,-5.975875,-8.673429,-27.275327,23596.8808,2.687976,5.095964,6.95105,12.23612,-3.997659,-5.74469,-18.028222,15357.3144,3.534818,4.307024,6.340201,9.976713,-3.495833,-5.186149,-10.496447,12104.0196,3.420095,3.434255,5.266791,7.667247,-2.778418,-4.137229,-9.065377,3774.541,2.256275,1.364455,3.567134,6.323349,-0.9549,-1.619502,-4.398515,3843.1936,2.260125,1.362823,3.321509,5.692064,-0.942573,-1.543098,-3.508913,18904.0449,3.689864,5.936833,9.964664,13.149009,-4.727089,-7.410786,-15.918505,16700.8106,3.568241,5.422045,9.056944,12.675246,-4.11074,-6.330706,-11.136099,3
