x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,y
3515.3349,1.680442,1.167442,2.239159,5.508095,-0.579248,-1.054156,-5.897371,8641.6055,2.061909,3.574851,6.975026,12.693907,-1.36157,-2.266707,-9.639911,2325.1179,1.709246,1.227057,2.688277,5.653717,-0.469808,-0.968121,-4.844006,2341.9492,1.670371,1.253711,2.713855,6.012694,-0.475863,-0.947149,-4.59684,713.1089,1.435847,0.536916,1.636323,4.221724,-0.169179,-0.496622,-3.526135,644.5575,1.399046,0.495954,1.606458,3.562424,-0.157768,-0.487842,-3.592077,3213.2883,1.797413,1.990703,4.886885,7.832664,-0.683044,-1.371454,-6.242325,3314.7783,1.781601,2.16219,5.463671,9.290159,-0.721189,-1.394224,-6.202681,6840.2676,1.661255,2.240607,3.883773,7.747227,-0.976813,-1.632431,-7.853037,4615.4248,1.51397,1.458264,2.631325,5.654558,-0.655312,-1.141785,-5.575112,2679.6787,1.673098,1.188016,2.243446,4.362608,-0.47938,-0.81666,-3.623575,2208.7954,1.638034,1.050662,2.168489,4.174137,-0.421199,-0.75835,-3.262239,1006.4614,1.508046,0.724736,2.232601,4.215121,-0.21677,-0.515818,-3.068297,1007.777,1.495388,0.700038,1.998169,3.527205,-0.216777,-0.51386,-2.498955,3517.3378,1.770599,1.884634,4.227092,6.934833,-0.675833,-1.097688,-4.076744,3324.5932,1.775678,1.739789,3.859921,6.094965,-0.635962,-1.078536,-4.062868,3
35187.002,2.901199,8.248542,10.826122,15.574809,-7.027139,-11.587519,-66.173492,34514.7129,2.31228,9.296612,13.569994,20.298866,-7.375214,-12.919922,-64.639741,10103.2278,4.163857,2.56814,4.117712,5.6318,-2.392059,-3.959595,-11.279637,10132.5322,4.065517,2.613484,4.2456,6.171101,-2.375161,-3.761581,-11.457592,3222.0381,2.631433,1.126352,2.602405,4.627177,-0.863599,-1.648993,-6.095009,2680.6325,2.58748,0.950424,2.194768,4.240895,-0.717799,-1.338725,-5.54554,13114.4221,4.265383,4.162209,7.506285,9.752574,-3.626492,-5.972402,-18.052658,13706.9986,4.227487,4.346898,7.756556,9.972216,-3.82255,-6.542881,-17.683057,37160.8906,2.653411,9.548551,13.877996,28.072693,-7.247411,-12.613859,-64.258684,28730.5059,2.484182,7.103978,9.771669,20.104345,-5.426747,-10.229138,-49.36088,11239.2385,4.234163,2.803146,4.308925,7.405814,-2.628581,-4.351036,-15.650102,9222.2017,4.078995,2.403025,3.901188,6.351426,-2.161784,-3.79478,-14.118321,3302.2259,2.688973,1.17182,2.719769,6.324819,-0.903607,-1.92816,-7.2676,2915.0864,2.580973,1.013216,2.467118,4.498214,-0.784903,-1.694466,-9.18208,14667.2109,4.336357,4.417334,7.59447,10.99843,-4.038161,-7.198965,-19.822379,12682.4279,4.258617,4.111039,7.441865,10.448235,-3.556501,-6.361559,-16.759022,3
14755.9527,4.707675,3.59766,4.901374,5.335233,-2.469303,-3.171007,-4.710143,17078.3481,4.7824,4.650365,7.037716,7.797684,-2.894465,-3.778083,-5.557015,17780.9668,2.781341,5.319649,7.056599,8.501315,-3.138174,-4.533662,-7.206391,19857.9053,2.910577,5.956991,7.888528,9.306499,-3.347457,-4.862846,-7.772632,3407.6389,2.272344,1.139118,1.864779,2.261768,-0.716081,-1.129339,-2.011097,3569.5493,2.278002,1.187398,1.938072,2.424071,-0.73785,-1.120727,-2.107313,17341.4687,2.701712,5.925434,8.564862,9.716255,-3.407372,-5.223242,-7.936791,19865.1699,2.828072,6.682495,9.650407,11.001448,-3.838926,-6.131002,-9.792781,13521.8137,4.636591,3.101389,4.185967,5.173661,-2.057107,-2.626002,-4.576827,14135.7798,4.261822,2.883521,3.568385,4.320391,-2.054762,-2.611746,-4.680893,12235.063,2.539163,3.731619,5.090822,6.449156,-2.573296,-3.692396,-6.220809,12945.5791,2.57094,3.751697,5.019489,6.872762,-2.489739,-3.639113,-5.767936,5167.5115,2.645706,1.68447,2.663645,3.52008,-1.086682,-1.759712,-3.4436,6479.8049,2.851355,2.003134,3.013434,4.073224,-1.302092,-1.944198,-3.178229,14313.6367,2.552485,4.790164,7.076651,8.590376,-3.369389,-5.389452,-8.661519,12523.1894,2.51699,4.158971,6.147408,7.11907,-2.859635,-4.443002,-7.136534,2
154555.4531,3.703457,31.344961,39.526782,55.08322,-26.159748,-37.18474,-126.824758,139340.707,3.270913,28.987507,38.207412,49.99853,-23.291115,-33.914137,-125.146856,11872.7172,3.047296,2.265484,2.893338,3.875103,-2.265247,-3.051024,-5.722381,11624.3584,2.943729,2.226736,2.773238,3.65914,-2.189381,-2.943012,-4.770572,3963.8264,2.124966,0.910226,1.399556,2.012877,-0.763707,-1.154931,-2.235869,3745.9019,2.088433,0.85643,1.326542,1.94261,-0.711582,-1.069079,-2.19941,17528.1338,3.309229,3.439842,4.369668,5.031178,-3.586922,-5.181233,-7.485007,18292.2178,3.283314,3.611849,4.691142,5.768953,-3.76932,-5.388537,-8.719508,101041.4258,3.284573,20.818958,26.095531,37.266403,-16.343548,-22.07176,-78.304871,89245.2696,3.213004,17.781767,21.809715,34.147556,-14.16252,-20.072529,-60.464532,14371.8071,3.237868,2.676184,3.26923,4.661578,-2.746487,-3.742275,-6.256714,11439.9868,3.171908,2.126258,2.649805,3.825606,-2.201252,-2.950333,-5.04233,4525.5068,2.195038,1.021457,1.582354,2.561054,-0.87043,-1.332387,-2.563202,4469.5928,2.161121,1.00318,1.540923,2.565923,-0.835097,-1.246797,-2.373694,21061.2925,3.615486,3.992623,5.061989,6.699333,-4.379409,-6.25711,-10.215679,18659.2129,3.499571,3.587122,4.447812,5.801287,-3.852692,-5.613267,-8.909893,4
10161.0727,2.922173,1.952364,2.390539,4.682914,-1.421927,-1.930298,-6.912609,17038.04,4.846658,3.424007,4.215034,7.327467,-2.525457,-3.413564,-8.127534,8604.3686,6.514245,2.492883,3.926174,6.432535,-1.603525,-2.393348,-5.657344,8857.4815,6.280866,2.59,4.052067,6.283785,-1.647556,-2.464855,-5.317037,2142.6109,2.917593,0.666378,1.36317,3.455103,-0.427948,-0.749577,-2.637686,1858.1432,2.769724,0.574469,1.089167,3.041744,-0.383647,-0.766201,-2.061585,9156.861,5.793645,3.039772,5.236214,7.895326,-1.925288,-3.095266,-6.401423,9633.5187,5.729477,3.220751,5.598167,8.965583,-2.064021,-3.346671,-6.318937,10742.7387,2.568928,2.076588,2.682753,6.240888,-1.521822,-2.316097,-8.258043,8202.3637,2.369246,1.60427,2.060395,5.037624,-1.148918,-1.680916,-5.878778,8898.7777,6.464619,2.632915,4.155808,7.499619,-1.641045,-2.413228,-5.822065,7203.794,6.152777,2.122069,3.37956,6.546229,-1.335041,-1.981723,-4.503783,2033.501,2.816998,0.632723,1.242469,4.338072,-0.420908,-0.832982,-3.1989,2033.1763,2.898977,0.618153,1.208294,3.214702,-0.41136,-0.742893,-2.90312,9301.8027,5.694847,3.114417,5.316618,9.478055,-1.999849,-3.236676,-6.785385,8070.7506,5.547281,2.716788,4.889486,7.705113,-1.72899,-2.795347,-5.987331,1
57568.2163,9.549659,17.377993,27.492956,36.9882,-11.045181,-15.467691,-39.623929,59177.6792,9.046501,18.609734,30.418378,39.207452,-11.125366,-16.179347,-45.867533,8336.1489,3.612577,2.46189,4.138713,7.762595,-1.579871,-2.665779,-9.314275,8662.2671,3.540351,2.504782,4.211858,7.565488,-1.595121,-2.585729,-9.114917,2113.5548,2.318351,0.742094,1.965442,4.892147,-0.44209,-0.916435,-4.487216,2225.1239,2.369935,0.805715,2.110007,5.083654,-0.456022,-0.93669,-4.495303,13244.5329,4.4124,4.166152,7.753775,11.910677,-2.631486,-4.35108,-12.977003,14128.0318,4.430012,4.463946,8.533008,12.665219,-2.859698,-4.655017,-13.671514,36550.3672,4.634866,9.926754,14.813861,18.812832,-5.716798,-8.081979,-24.141081,21941.3174,3.667298,5.854959,8.89062,12.661582,-3.257437,-4.532518,-13.354219,10565.3225,3.605509,2.831286,4.273042,6.432985,-1.919036,-2.885575,-6.944304,11359.8965,3.953493,2.882665,4.44789,6.804181,-2.076791,-3.063847,-7.117711,3819.7034,2.803767,1.379424,3.376106,6.492852,-0.725798,-1.211414,-3.725551,3711.5506,2.805192,1.345405,3.147596,5.32518,-0.68827,-1.16732,-3.271817,16130.1714,4.202287,4.781434,8.271755,10.981521,-3.192419,-5.121851,-11.783546,15459.6362,4.245642,4.398118,7.425912,10.018035,-2.985856,-4.746146,-9.702259,5
2136.5259,1.483951,0.737948,1.448632,4.062192,-0.398653,-0.826579,-4.445894,8712.7539,2.049607,3.534372,6.886774,12.139166,-1.374477,-2.373965,-9.724337,2403.6668,1.75748,1.245801,2.760241,6.094162,-0.482115,-0.946739,-5.364511,2443.8921,1.721534,1.271728,2.79983,6.53478,-0.484948,-0.935264,-5.061401,753.0233,1.476861,0.550024,1.820556,4.407384,-0.176279,-0.466474,-3.262175,683.6344,1.440141,0.503919,1.54435,3.677694,-0.161427,-0.490134,-3.940348,3297.293,1.845089,2.039888,4.987868,9.3188,-0.697338,-1.245945,-5.872128,3473.7514,1.847025,2.209175,5.737907,9.419529,-0.731447,-1.34125,-6.46505,7064.834,1.670054,2.224667,3.916486,7.897593,-1.008509,-1.753693,-8.372245,4776.7285,1.519006,1.461775,2.568159,5.860228,-0.683749,-1.240976,-6.24691,2800.3737,1.724898,1.195356,2.248884,4.432418,-0.496937,-0.825709,-3.352177,2277.9119,1.689826,1.05142,2.074077,4.14443,-0.43157,-0.761485,-3.175798,1047.5559,1.546944,0.736364,2.243338,4.22638,-0.215651,-0.477322,-2.422368,1055.1708,1.541744,0.705999,2.038757,4.160049,-0.221432,-0.484359,-2.579134,3654.3853,1.8265,1.907137,4.179777,6.544586,-0.695409,-1.14682,-4.610988,3429.5522,1.829946,1.76002,3.841838,6.699381,-0.652604,-1.054965,-3.90478,3
55720.793,9.051565,17.093235,27.081118,35.810928,-10.528384,-14.859393,-38.517006,57106.3262,8.584603,18.375981,29.855214,36.663415,-10.627053,-15.627548,-45.234254,8781.0666,3.70786,2.530834,4.26402,7.973588,-1.610952,-2.771042,-9.268554,9065.0056,3.630389,2.580106,4.317848,8.044617,-1.617567,-2.709743,-9.083097,2159.2819,2.324375,0.763823,1.994114,4.631949,-0.454439,-0.985616,-4.645387,2278.1441,2.362383,0.816617,2.117533,4.88304,-0.463357,-0.978591,-4.167349,13680.9587,4.45383,4.217588,7.686477,11.322164,-2.692085,-4.642055,-13.430687,14553.2364,4.491843,4.525591,8.567358,12.949863,-2.930344,-4.983977,-16.817557,36416.7198,4.63717,10.046942,15.004083,21.617226,-5.479803,-7.824724,-24.63508,21750.081,3.673424,5.961082,9.017468,12.773052,-3.090894,-4.567558,-13.307574,10326.4477,3.600713,2.787194,4.161936,7.297431,-1.828361,-2.773392,-6.45637,11434.3435,3.991261,2.880454,4.354825,6.618692,-2.066536,-3.084507,-7.096847,3982.8321,2.846719,1.438954,3.553924,5.803364,-0.759079,-1.291431,-3.738891,3891.8323,2.834101,1.39416,3.243672,5.281265,-0.719873,-1.15832,-3.491471,15618.706,4.170884,4.595979,7.802117,10.723783,-3.077387,-5.056677,-11.188689,15455.6113,4.290171,4.353785,7.254806,10.501134,-2.949697,-4.835675,-9.846576,5
2746.9883,1.40246,1.110301,1.859923,4.035189,-0.392335,-0.864446,-5.093348,3477.2129,1.287111,1.908866,3.336559,7.758251,-0.425445,-0.964758,-5.038358,308.9841,1.122371,0.522715,1.415526,3.145387,-0.060073,-0.349758,-3.072774,322.8311,1.12413,0.56205,1.556507,3.160283,-0.061195,-0.349817,-3.100718,248.6438,1.183208,0.371606,1.252111,2.596266,-0.051026,-0.290487,-2.555719,202.4806,1.167816,0.312509,1.065025,2.605797,-0.045073,-0.350678,-2.342878,549.6125,1.191684,0.985398,2.838705,4.417736,-0.078301,-0.466564,-3.07867,570.4121,1.192149,1.068954,3.004824,4.958858,-0.092487,-0.407523,-3.530645,4167.7764,1.350744,1.745401,2.93358,7.177558,-0.383236,-0.948883,-5.079508,3499.9541,1.31884,1.435079,2.52707,5.688093,-0.263395,-0.853137,-5.420184,370.7021,1.126444,0.584818,1.476275,4.591463,-0.062873,-0.359793,-3.252674,340.9114,1.121246,0.53324,1.35895,3.569359,-0.062491,-0.367815,-3.03866,299.7522,1.224893,0.43605,1.449609,3.689108,-0.054069,-0.349758,-3.306387,281.4339,1.217751,0.391631,1.302244,3.243948,-0.05786,-0.36826,-3.414248,631.091,1.194151,1.158482,3.153461,6.193874,-0.07834,-0.406186,-2.787971,616.7424,1.210641,1.073059,3.091502,5.593624,-0.084869,-0.386866,-3.31582,3
85816.5142,11.988413,25.018034,38.549947,40.848402,-16.714029,-22.605383,-42.546457,82801.6064,10.442643,25.459676,42.092689,45.140317,-16.161557,-21.501357,-44.53394,24086.5742,6.618459,7.062637,11.143459,12.128665,-5.606303,-8.067329,-11.159125,23792.2407,6.335142,6.97853,11.21401,12.421705,-5.481374,-7.968791,-11.371324,5919.0644,3.485586,2.229285,5.761106,7.022412,-1.36397,-2.187201,-3.11592,5413.5645,3.291291,2.021099,5.259903,6.509229,-1.204013,-1.890011,-3.093558,33308.8814,7.383346,10.995575,18.476357,19.838477,-8.397848,-12.972096,-15.540232,35023.5366,7.312224,11.762021,20.426687,22.1052,-9.089826,-14.598,-19.551793,70507.6172,8.653882,20.313299,29.540734,32.431813,-12.975784,-16.697559,-39.238476,61855.664,7.409005,16.409814,22.802686,25.253868,-10.877875,-13.779608,-33.218135,28525.0005,7.334353,8.157301,11.750014,13.053593,-6.563406,-9.417179,-14.286603,22767.2566,7.233466,6.327763,9.160234,10.272253,-5.317956,-7.511636,-13.111421,6815.9741,3.653383,2.539731,6.791057,8.502805,-1.56718,-2.632705,-4.009809,7043.834,3.664025,2.5595,6.59243,8.218155,-1.528198,-2.439002,-3.949532,38706.9624,8.454395,12.362839,19.299723,20.702215,-10.053408,-16.249349,-22.526381,35282.5581,8.345887,11.293095,17.838024,19.13979,-9.002232,-14.150231,-22.786626,3
