x0,x1,x2,x3,x4,x5,x6,y
4.0,269,253.0,135.0,3,15,205,1
14.0,1558,217.0,60.0,3,15,222,1
1.0,2400,154.0,80.0,3,20,165,1
1.0,2466,253.0,80.0,3,20,195,1
2.0,108,14.0,252.0,3,30,202,0
4.0,1094,154.0,135.0,3,30,181,1
5.0,1768,154.0,197.0,3,30,220,0
5.0,2722,217.0,85.0,3,30,228,0
5.0,2606,253.0,197.0,3,35,216,1
1.0,2538,153.0,208.0,3,40,200,1
4.0,223,14.0,252.0,3,49,201,1
5.0,1646,217.0,16.0,3,50,212,1
5.0,2055,261.0,16.0,3,50,210,0
1.0,2408,154.0,80.0,3,55,170,0
2.0,132,14.0,214.0,3,55,215,0
14.0,498,79.0,60.0,3,55,179,0
3.0,98,79.0,148.0,3,59,213,0
4.0,1496,153.0,135.0,3,60,162,0
5.0,1450,153.0,197.0,3,60,181,0
4.0,507,207.0,135.0,3,75,167,0
2.0,128,98.0,252.0,3,80,206,0
5.0,2223,14.0,261.0,3,85,270,0
2.0,112,14.0,252.0,3,90,200,0
9.0,17,153.0,128.0,3,100,380,1
14.0,122,14.0,217.0,3,113,327,1
2.0,114,14.0,252.0,3,150,200,0
3.0,766,37.0,173.0,3,240,169,0
3.0,768,225.0,173.0,3,262,180,0
9.0,206,128.0,203.0,3,300,36,1
12.0,4746,29.0,197.0,3,300,85,0
12.0,6466,144.0,154.0,3,300,53,0
14.0,1011,96.0,60.0,3,300,111,0
14.0,1983,35.0,60.0,3,300,135,0
9.0,108,128.0,150.0,3,302,41,0
12.0,6900,184.0,208.0,3,302,44,0
0.0,3975,112.0,197.0,3,305,68,0
9.0,102,128.0,143.0,3,305,49,0
12.0,4829,205.0,197.0,3,305,75,0
11.0,6338,120.0,16.0,3,315,93,1
12.0,6505,163.0,253.0,3,315,95,0
14.0,149,252.0,217.0,3,315,166,1
14.0,1640,173.0,60.0,3,315,97,0
14.0,908,277.0,60.0,3,315,96,0
9.0,106,128.0,203.0,3,317,36,0
0.0,3854,82.0,197.0,3,320,58,1
