x0,x1,x2,x3,x4,x5,x6,y
-1.0,288.28,0.0,0.0,40,1.0,24.0,5545.0
-1.0,289.36,0.0,0.0,75,1.0,2.0,4516.0
-1.0,289.58,0.0,0.0,90,1.0,19.0,4767.0
-1.0,290.13,0.0,0.0,90,1.0,19.0,5026.0
-1.0,291.14,0.0,0.0,75,1.0,2.0,4918.0
-1.0,291.72,0.0,0.0,1,0.0,27.0,5181.0
-1.0,293.17,0.0,0.0,1,0.0,27.0,5584.0
-1.0,293.86,0.0,0.0,1,0.0,27.0,6015.0
-1.0,294.14,0.0,0.0,20,1.0,4.0,5791.0
-1.0,293.1,0.0,0.0,20,1.0,4.0,4770.0
-1.0,290.97,0.0,0.0,20,1.0,4.0,3539.0
-1.0,289.38,0.0,0.0,1,0.0,27.0,2784.0
-1.0,288.61,0.0,0.0,1,0.0,27.0,2361.0
-1.0,287.16,0.0,0.0,1,0.0,27.0,1529.0
-1.0,285.45,0.0,0.0,1,0.0,27.0,963.0
-1.0,284.63,0.0,0.0,1,0.0,27.0,506.0
-1.0,283.47,0.0,0.0,1,0.0,27.0,321.0
-1.0,281.18,0.0,0.0,1,0.0,27.0,273.0
-1.0,281.09,0.0,0.0,1,0.0,27.0,367.0
-1.0,279.53,0.0,0.0,1,0.0,27.0,814.0
-1.0,278.62,0.0,0.0,1,0.0,27.0,2718.0
-1.0,278.23,0.0,0.0,1,0.0,27.0,5673.0
-1.0,278.12,0.0,0.0,1,0.0,27.0,6511.0
-1.0,282.48,0.0,0.0,1,0.0,27.0,5471.0
-1.0,291.97,0.0,0.0,1,0.0,27.0,5097.0
-1.0,293.23,0.0,0.0,1,0.0,27.0,4887.0
-1.0,294.31,0.0,0.0,1,0.0,27.0,5337.0
-1.0,295.17,0.0,0.0,1,0.0,27.0,5692.0
-1.0,295.13,0.0,0.0,1,0.0,27.0,6137.0
-1.0,293.66,0.0,0.0,20,1.0,4.0,4623.0
-1.0,290.65,0.0,0.0,20,1.0,4.0,3591.0
-1.0,288.19,0.0,0.0,20,1.0,4.0,2898.0
-1.0,287.1,0.0,0.0,1,0.0,27.0,2637.0
-1.0,286.25,0.0,0.0,1,0.0,27.0,1777.0
-1.0,285.26,0.0,0.0,1,0.0,27.0,1015.0
-1.0,284.55,0.0,0.0,1,0.0,27.0,598.0
-1.0,283.47,0.0,0.0,1,0.0,27.0,369.0
-1.0,283.17,0.0,0.0,1,0.0,27.0,312.0
-1.0,282.04,0.0,0.0,1,0.0,27.0,367.0
-1.0,281.69,0.0,0.0,1,0.0,27.0,835.0
-1.0,281.32,0.0,0.0,1,0.0,27.0,2726.0
-1.0,280.74,0.0,0.0,1,0.0,27.0,5689.0
-1.0,280.57,0.0,0.0,1,0.0,27.0,6990.0
-1.0,281.86,0.0,0.0,1,0.0,27.0,5985.0
-1.0,284.98,0.0,0.0,1,0.0,27.0,5309.0
-1.0,289.18,0.0,0.0,1,0.0,27.0,4603.0
-1.0,291.55,0.0,0.0,1,0.0,27.0,4884.0
-1.0,294.97,0.0,0.0,1,0.0,27.0,5104.0
-1.0,296.38,0.0,0.0,1,0.0,27.0,5178.0
-1.0,297.32,0.0,0.0,1,0.0,27.0,5501.0
-1.0,298.17,0.0,0.0,1,0.0,27.0,5713.0
-1.0,298.06,0.0,0.0,20,1.0,4.0,6292.0
-1.0,297.67,0.0,0.0,20,1.0,4.0,6057.0
-1.0,296.36,0.0,0.0,40,1.0,24.0,4907.0
-1.0,293.85,0.0,0.0,40,1.0,24.0,3503.0
-1.0,292.43,0.0,0.0,40,1.0,24.0,3037.0
-1.0,291.77,0.0,0.0,75,1.0,2.0,2822.0
-1.0,291.36,0.0,0.0,75,1.0,2.0,1992.0
-1.0,291.12,0.0,0.0,75,1.0,2.0,1166.0
-1.0,290.63,0.0,0.0,75,1.0,2.0,627.0
-1.0,290.46,0.0,0.0,40,1.0,24.0,388.0
