drift_type,sensitivity,sensitivity_multiplier,run_id,csv_filename,drift_times_filename,random_seed
sudden,low,0.5,1,sudden_drift\low\recurring_sudden_sea100k_g00.csv,sudden_drift\low\recurring_sudden_sea100k_g00_drift_times.txt,4155784068
sudden,low,0.5,2,sudden_drift\low\recurring_sudden_sea100k_g01.csv,sudden_drift\low\recurring_sudden_sea100k_g01_drift_times.txt,547358504
sudden,low,0.5,3,sudden_drift\low\recurring_sudden_sea100k_g02.csv,sudden_drift\low\recurring_sudden_sea100k_g02_drift_times.txt,2929883598
sudden,low,0.5,4,sudden_drift\low\recurring_sudden_sea100k_g03.csv,sudden_drift\low\recurring_sudden_sea100k_g03_drift_times.txt,1033210349
sudden,low,0.5,5,sudden_drift\low\recurring_sudden_sea100k_g04.csv,sudden_drift\low\recurring_sudden_sea100k_g04_drift_times.txt,1928182647
sudden,low,0.5,6,sudden_drift\low\recurring_sudden_sea100k_g05.csv,sudden_drift\low\recurring_sudden_sea100k_g05_drift_times.txt,1575945612
sudden,low,0.5,7,sudden_drift\low\recurring_sudden_sea100k_g06.csv,sudden_drift\low\recurring_sudden_sea100k_g06_drift_times.txt,1544761376
sudden,low,0.5,8,sudden_drift\low\recurring_sudden_sea100k_g07.csv,sudden_drift\low\recurring_sudden_sea100k_g07_drift_times.txt,2471654536
sudden,low,0.5,9,sudden_drift\low\recurring_sudden_sea100k_g08.csv,sudden_drift\low\recurring_sudden_sea100k_g08_drift_times.txt,2881640457
sudden,low,0.5,10,sudden_drift\low\recurring_sudden_sea100k_g09.csv,sudden_drift\low\recurring_sudden_sea100k_g09_drift_times.txt,3297729785
sudden,medium,1.0,1,sudden_drift\medium\recurring_sudden_sea100k_g00.csv,sudden_drift\medium\recurring_sudden_sea100k_g00_drift_times.txt,1988031886
sudden,medium,1.0,2,sudden_drift\medium\recurring_sudden_sea100k_g01.csv,sudden_drift\medium\recurring_sudden_sea100k_g01_drift_times.txt,441380239
sudden,medium,1.0,3,sudden_drift\medium\recurring_sudden_sea100k_g02.csv,sudden_drift\medium\recurring_sudden_sea100k_g02_drift_times.txt,1415084609
sudden,medium,1.0,4,sudden_drift\medium\recurring_sudden_sea100k_g03.csv,sudden_drift\medium\recurring_sudden_sea100k_g03_drift_times.txt,3618480651
sudden,medium,1.0,5,sudden_drift\medium\recurring_sudden_sea100k_g04.csv,sudden_drift\medium\recurring_sudden_sea100k_g04_drift_times.txt,1890762599
sudden,medium,1.0,6,sudden_drift\medium\recurring_sudden_sea100k_g05.csv,sudden_drift\medium\recurring_sudden_sea100k_g05_drift_times.txt,774195814
sudden,medium,1.0,7,sudden_drift\medium\recurring_sudden_sea100k_g06.csv,sudden_drift\medium\recurring_sudden_sea100k_g06_drift_times.txt,754264485
sudden,medium,1.0,8,sudden_drift\medium\recurring_sudden_sea100k_g07.csv,sudden_drift\medium\recurring_sudden_sea100k_g07_drift_times.txt,1451887033
sudden,medium,1.0,9,sudden_drift\medium\recurring_sudden_sea100k_g08.csv,sudden_drift\medium\recurring_sudden_sea100k_g08_drift_times.txt,2740715304
sudden,medium,1.0,10,sudden_drift\medium\recurring_sudden_sea100k_g09.csv,sudden_drift\medium\recurring_sudden_sea100k_g09_drift_times.txt,3128190166
sudden,high,2.0,1,sudden_drift\high\recurring_sudden_sea100k_g00.csv,sudden_drift\high\recurring_sudden_sea100k_g00_drift_times.txt,2216048922
sudden,high,2.0,2,sudden_drift\high\recurring_sudden_sea100k_g01.csv,sudden_drift\high\recurring_sudden_sea100k_g01_drift_times.txt,2882090778
sudden,high,2.0,3,sudden_drift\high\recurring_sudden_sea100k_g02.csv,sudden_drift\high\recurring_sudden_sea100k_g02_drift_times.txt,940043675
sudden,high,2.0,4,sudden_drift\high\recurring_sudden_sea100k_g03.csv,sudden_drift\high\recurring_sudden_sea100k_g03_drift_times.txt,3132857316
sudden,high,2.0,5,sudden_drift\high\recurring_sudden_sea100k_g04.csv,sudden_drift\high\recurring_sudden_sea100k_g04_drift_times.txt,1698803747
sudden,high,2.0,6,sudden_drift\high\recurring_sudden_sea100k_g05.csv,sudden_drift\high\recurring_sudden_sea100k_g05_drift_times.txt,3085159776
sudden,high,2.0,7,sudden_drift\high\recurring_sudden_sea100k_g06.csv,sudden_drift\high\recurring_sudden_sea100k_g06_drift_times.txt,3369705022
sudden,high,2.0,8,sudden_drift\high\recurring_sudden_sea100k_g07.csv,sudden_drift\high\recurring_sudden_sea100k_g07_drift_times.txt,1332456761
sudden,high,2.0,9,sudden_drift\high\recurring_sudden_sea100k_g08.csv,sudden_drift\high\recurring_sudden_sea100k_g08_drift_times.txt,2323486069
sudden,high,2.0,10,sudden_drift\high\recurring_sudden_sea100k_g09.csv,sudden_drift\high\recurring_sudden_sea100k_g09_drift_times.txt,2477094061
gradual,low,0.5,1,gradual_drift\low\recurring_gradual_sea100k_g00.csv,gradual_drift\low\recurring_gradual_sea100k_g00_drift_times.txt,2125841807
gradual,low,0.5,2,gradual_drift\low\recurring_gradual_sea100k_g01.csv,gradual_drift\low\recurring_gradual_sea100k_g01_drift_times.txt,4001491493
gradual,low,0.5,3,gradual_drift\low\recurring_gradual_sea100k_g02.csv,gradual_drift\low\recurring_gradual_sea100k_g02_drift_times.txt,2796493236
gradual,low,0.5,4,gradual_drift\low\recurring_gradual_sea100k_g03.csv,gradual_drift\low\recurring_gradual_sea100k_g03_drift_times.txt,3489541106
gradual,low,0.5,5,gradual_drift\low\recurring_gradual_sea100k_g04.csv,gradual_drift\low\recurring_gradual_sea100k_g04_drift_times.txt,3654478029
gradual,low,0.5,6,gradual_drift\low\recurring_gradual_sea100k_g05.csv,gradual_drift\low\recurring_gradual_sea100k_g05_drift_times.txt,235074571
