drift_type,sensitivity,sensitivity_multiplier,run_id,csv_filename,drift_times_filename,random_seed
sudden,low,0.5,1,sudden_drift/low/recurring_sudden_rbf4_100k_g00.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g00_drift_times.txt,940973988
sudden,low,0.5,2,sudden_drift/low/recurring_sudden_rbf4_100k_g01.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g01_drift_times.txt,2571569869
sudden,low,0.5,3,sudden_drift/low/recurring_sudden_rbf4_100k_g02.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g02_drift_times.txt,1442964688
sudden,low,0.5,4,sudden_drift/low/recurring_sudden_rbf4_100k_g03.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g03_drift_times.txt,2364128444
sudden,low,0.5,5,sudden_drift/low/recurring_sudden_rbf4_100k_g04.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g04_drift_times.txt,2168580074
sudden,low,0.5,6,sudden_drift/low/recurring_sudden_rbf4_100k_g05.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g05_drift_times.txt,2285137041
sudden,low,0.5,7,sudden_drift/low/recurring_sudden_rbf4_100k_g06.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g06_drift_times.txt,3644095430
sudden,low,0.5,8,sudden_drift/low/recurring_sudden_rbf4_100k_g07.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g07_drift_times.txt,3849340155
sudden,low,0.5,9,sudden_drift/low/recurring_sudden_rbf4_100k_g08.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g08_drift_times.txt,1876228588
sudden,low,0.5,10,sudden_drift/low/recurring_sudden_rbf4_100k_g09.csv,sudden_drift/low/recurring_sudden_rbf4_100k_g09_drift_times.txt,3908632333
sudden,medium,1.0,1,sudden_drift/medium/recurring_sudden_rbf4_100k_g00.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g00_drift_times.txt,3314633608
sudden,medium,1.0,2,sudden_drift/medium/recurring_sudden_rbf4_100k_g01.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g01_drift_times.txt,1383615306
sudden,medium,1.0,3,sudden_drift/medium/recurring_sudden_rbf4_100k_g02.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g02_drift_times.txt,551787067
sudden,medium,1.0,4,sudden_drift/medium/recurring_sudden_rbf4_100k_g03.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g03_drift_times.txt,1999461301
sudden,medium,1.0,5,sudden_drift/medium/recurring_sudden_rbf4_100k_g04.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g04_drift_times.txt,2061169809
sudden,medium,1.0,6,sudden_drift/medium/recurring_sudden_rbf4_100k_g05.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g05_drift_times.txt,1528236260
sudden,medium,1.0,7,sudden_drift/medium/recurring_sudden_rbf4_100k_g06.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g06_drift_times.txt,875728197
sudden,medium,1.0,8,sudden_drift/medium/recurring_sudden_rbf4_100k_g07.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g07_drift_times.txt,2799085983
sudden,medium,1.0,9,sudden_drift/medium/recurring_sudden_rbf4_100k_g08.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g08_drift_times.txt,3679601134
sudden,medium,1.0,10,sudden_drift/medium/recurring_sudden_rbf4_100k_g09.csv,sudden_drift/medium/recurring_sudden_rbf4_100k_g09_drift_times.txt,1643672150
sudden,high,2.0,1,sudden_drift/high/recurring_sudden_rbf4_100k_g00.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g00_drift_times.txt,100285778
sudden,high,2.0,2,sudden_drift/high/recurring_sudden_rbf4_100k_g01.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g01_drift_times.txt,1713232762
sudden,high,2.0,3,sudden_drift/high/recurring_sudden_rbf4_100k_g02.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g02_drift_times.txt,1702169414
sudden,high,2.0,4,sudden_drift/high/recurring_sudden_rbf4_100k_g03.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g03_drift_times.txt,182880466
sudden,high,2.0,5,sudden_drift/high/recurring_sudden_rbf4_100k_g04.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g04_drift_times.txt,3041701696
sudden,high,2.0,6,sudden_drift/high/recurring_sudden_rbf4_100k_g05.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g05_drift_times.txt,3018474501
sudden,high,2.0,7,sudden_drift/high/recurring_sudden_rbf4_100k_g06.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g06_drift_times.txt,3987410459
sudden,high,2.0,8,sudden_drift/high/recurring_sudden_rbf4_100k_g07.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g07_drift_times.txt,621069732
sudden,high,2.0,9,sudden_drift/high/recurring_sudden_rbf4_100k_g08.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g08_drift_times.txt,4073184477
sudden,high,2.0,10,sudden_drift/high/recurring_sudden_rbf4_100k_g09.csv,sudden_drift/high/recurring_sudden_rbf4_100k_g09_drift_times.txt,787686872
gradual,low,0.5,1,gradual_drift/low/recurring_gradual_rbf4_100k_g00.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g00_drift_times.txt,3989266488
gradual,low,0.5,2,gradual_drift/low/recurring_gradual_rbf4_100k_g01.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g01_drift_times.txt,2016903853
gradual,low,0.5,3,gradual_drift/low/recurring_gradual_rbf4_100k_g02.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g02_drift_times.txt,700769735
gradual,low,0.5,4,gradual_drift/low/recurring_gradual_rbf4_100k_g03.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g03_drift_times.txt,1119543399
gradual,low,0.5,5,gradual_drift/low/recurring_gradual_rbf4_100k_g04.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g04_drift_times.txt,686958771
gradual,low,0.5,6,gradual_drift/low/recurring_gradual_rbf4_100k_g05.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g05_drift_times.txt,2854043859
gradual,low,0.5,7,gradual_drift/low/recurring_gradual_rbf4_100k_g06.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g06_drift_times.txt,163264299
gradual,low,0.5,8,gradual_drift/low/recurring_gradual_rbf4_100k_g07.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g07_drift_times.txt,1813809726
gradual,low,0.5,9,gradual_drift/low/recurring_gradual_rbf4_100k_g08.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g08_drift_times.txt,251555332
gradual,low,0.5,10,gradual_drift/low/recurring_gradual_rbf4_100k_g09.csv,gradual_drift/low/recurring_gradual_rbf4_100k_g09_drift_times.txt,1747238316
gradual,medium,1.0,1,gradual_drift/medium/recurring_gradual_rbf4_100k_g00.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g00_drift_times.txt,3761227754
gradual,medium,1.0,2,gradual_drift/medium/recurring_gradual_rbf4_100k_g01.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g01_drift_times.txt,938312708
gradual,medium,1.0,3,gradual_drift/medium/recurring_gradual_rbf4_100k_g02.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g02_drift_times.txt,2068055927
gradual,medium,1.0,4,gradual_drift/medium/recurring_gradual_rbf4_100k_g03.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g03_drift_times.txt,2939433375
gradual,medium,1.0,5,gradual_drift/medium/recurring_gradual_rbf4_100k_g04.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g04_drift_times.txt,880031911
gradual,medium,1.0,6,gradual_drift/medium/recurring_gradual_rbf4_100k_g05.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g05_drift_times.txt,1061805180
gradual,medium,1.0,7,gradual_drift/medium/recurring_gradual_rbf4_100k_g06.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g06_drift_times.txt,1957396826
gradual,medium,1.0,8,gradual_drift/medium/recurring_gradual_rbf4_100k_g07.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g07_drift_times.txt,3467608440
gradual,medium,1.0,9,gradual_drift/medium/recurring_gradual_rbf4_100k_g08.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g08_drift_times.txt,374052263
gradual,medium,1.0,10,gradual_drift/medium/recurring_gradual_rbf4_100k_g09.csv,gradual_drift/medium/recurring_gradual_rbf4_100k_g09_drift_times.txt,517697539
gradual,high,2.0,1,gradual_drift/high/recurring_gradual_rbf4_100k_g00.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g00_drift_times.txt,2691984040
gradual,high,2.0,2,gradual_drift/high/recurring_gradual_rbf4_100k_g01.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g01_drift_times.txt,2432271225
gradual,high,2.0,3,gradual_drift/high/recurring_gradual_rbf4_100k_g02.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g02_drift_times.txt,3458900923
gradual,high,2.0,4,gradual_drift/high/recurring_gradual_rbf4_100k_g03.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g03_drift_times.txt,4235402776
gradual,high,2.0,5,gradual_drift/high/recurring_gradual_rbf4_100k_g04.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g04_drift_times.txt,2200570468
gradual,high,2.0,6,gradual_drift/high/recurring_gradual_rbf4_100k_g05.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g05_drift_times.txt,1339100664
gradual,high,2.0,7,gradual_drift/high/recurring_gradual_rbf4_100k_g06.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g06_drift_times.txt,3618154269
gradual,high,2.0,8,gradual_drift/high/recurring_gradual_rbf4_100k_g07.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g07_drift_times.txt,1778353305
gradual,high,2.0,9,gradual_drift/high/recurring_gradual_rbf4_100k_g08.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g08_drift_times.txt,1980232123
gradual,high,2.0,10,gradual_drift/high/recurring_gradual_rbf4_100k_g09.csv,gradual_drift/high/recurring_gradual_rbf4_100k_g09_drift_times.txt,424806080
incremental,low,0.5,1,incremental_drift/low/recurring_incremental_rbf4_100k_g00.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g00_drift_times.txt,1644700615
incremental,low,0.5,2,incremental_drift/low/recurring_incremental_rbf4_100k_g01.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g01_drift_times.txt,2263658991
incremental,low,0.5,3,incremental_drift/low/recurring_incremental_rbf4_100k_g02.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g02_drift_times.txt,1520472666
incremental,low,0.5,4,incremental_drift/low/recurring_incremental_rbf4_100k_g03.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g03_drift_times.txt,2090306537
incremental,low,0.5,5,incremental_drift/low/recurring_incremental_rbf4_100k_g04.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g04_drift_times.txt,2364406455
incremental,low,0.5,6,incremental_drift/low/recurring_incremental_rbf4_100k_g05.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g05_drift_times.txt,3823947388
incremental,low,0.5,7,incremental_drift/low/recurring_incremental_rbf4_100k_g06.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g06_drift_times.txt,3740392963
incremental,low,0.5,8,incremental_drift/low/recurring_incremental_rbf4_100k_g07.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g07_drift_times.txt,4147384291
incremental,low,0.5,9,incremental_drift/low/recurring_incremental_rbf4_100k_g08.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g08_drift_times.txt,603351724
incremental,low,0.5,10,incremental_drift/low/recurring_incremental_rbf4_100k_g09.csv,incremental_drift/low/recurring_incremental_rbf4_100k_g09_drift_times.txt,206695251
incremental,medium,1.0,1,incremental_drift/medium/recurring_incremental_rbf4_100k_g00.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g00_drift_times.txt,3807665413
incremental,medium,1.0,2,incremental_drift/medium/recurring_incremental_rbf4_100k_g01.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g01_drift_times.txt,414600304
incremental,medium,1.0,3,incremental_drift/medium/recurring_incremental_rbf4_100k_g02.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g02_drift_times.txt,901705805
incremental,medium,1.0,4,incremental_drift/medium/recurring_incremental_rbf4_100k_g03.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g03_drift_times.txt,2633746606
incremental,medium,1.0,5,incremental_drift/medium/recurring_incremental_rbf4_100k_g04.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g04_drift_times.txt,2392192031
incremental,medium,1.0,6,incremental_drift/medium/recurring_incremental_rbf4_100k_g05.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g05_drift_times.txt,1197159740
incremental,medium,1.0,7,incremental_drift/medium/recurring_incremental_rbf4_100k_g06.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g06_drift_times.txt,4176152597
incremental,medium,1.0,8,incremental_drift/medium/recurring_incremental_rbf4_100k_g07.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g07_drift_times.txt,383555651
incremental,medium,1.0,9,incremental_drift/medium/recurring_incremental_rbf4_100k_g08.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g08_drift_times.txt,3603776040
incremental,medium,1.0,10,incremental_drift/medium/recurring_incremental_rbf4_100k_g09.csv,incremental_drift/medium/recurring_incremental_rbf4_100k_g09_drift_times.txt,1054018008
incremental,high,2.0,1,incremental_drift/high/recurring_incremental_rbf4_100k_g00.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g00_drift_times.txt,3067064566
incremental,high,2.0,2,incremental_drift/high/recurring_incremental_rbf4_100k_g01.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g01_drift_times.txt,2685372456
incremental,high,2.0,3,incremental_drift/high/recurring_incremental_rbf4_100k_g02.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g02_drift_times.txt,2521872504
incremental,high,2.0,4,incremental_drift/high/recurring_incremental_rbf4_100k_g03.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g03_drift_times.txt,3701516099
incremental,high,2.0,5,incremental_drift/high/recurring_incremental_rbf4_100k_g04.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g04_drift_times.txt,3397706892
incremental,high,2.0,6,incremental_drift/high/recurring_incremental_rbf4_100k_g05.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g05_drift_times.txt,1921694898
incremental,high,2.0,7,incremental_drift/high/recurring_incremental_rbf4_100k_g06.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g06_drift_times.txt,1536129210
incremental,high,2.0,8,incremental_drift/high/recurring_incremental_rbf4_100k_g07.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g07_drift_times.txt,2366427195
incremental,high,2.0,9,incremental_drift/high/recurring_incremental_rbf4_100k_g08.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g08_drift_times.txt,1739715135
incremental,high,2.0,10,incremental_drift/high/recurring_incremental_rbf4_100k_g09.csv,incremental_drift/high/recurring_incremental_rbf4_100k_g09_drift_times.txt,3175517417
