drift_type,sensitivity,sensitivity_multiplier,run_id,csv_filename,drift_times_filename,random_seed
sudden,low,0.5,1,sudden_drift/low/recurring_sudden_friedman_100k_g00.csv,sudden_drift/low/recurring_sudden_friedman_100k_g00_drift_times.txt,3715443558
sudden,low,0.5,2,sudden_drift/low/recurring_sudden_friedman_100k_g01.csv,sudden_drift/low/recurring_sudden_friedman_100k_g01_drift_times.txt,2236170687
sudden,low,0.5,3,sudden_drift/low/recurring_sudden_friedman_100k_g02.csv,sudden_drift/low/recurring_sudden_friedman_100k_g02_drift_times.txt,3824137795
sudden,low,0.5,4,sudden_drift/low/recurring_sudden_friedman_100k_g03.csv,sudden_drift/low/recurring_sudden_friedman_100k_g03_drift_times.txt,1937851268
sudden,low,0.5,5,sudden_drift/low/recurring_sudden_friedman_100k_g04.csv,sudden_drift/low/recurring_sudden_friedman_100k_g04_drift_times.txt,1151884656
sudden,low,0.5,6,sudden_drift/low/recurring_sudden_friedman_100k_g05.csv,sudden_drift/low/recurring_sudden_friedman_100k_g05_drift_times.txt,1894966095
sudden,low,0.5,7,sudden_drift/low/recurring_sudden_friedman_100k_g06.csv,sudden_drift/low/recurring_sudden_friedman_100k_g06_drift_times.txt,1423235025
sudden,low,0.5,8,sudden_drift/low/recurring_sudden_friedman_100k_g07.csv,sudden_drift/low/recurring_sudden_friedman_100k_g07_drift_times.txt,2143687977
sudden,low,0.5,9,sudden_drift/low/recurring_sudden_friedman_100k_g08.csv,sudden_drift/low/recurring_sudden_friedman_100k_g08_drift_times.txt,111198311
sudden,low,0.5,10,sudden_drift/low/recurring_sudden_friedman_100k_g09.csv,sudden_drift/low/recurring_sudden_friedman_100k_g09_drift_times.txt,928678239
sudden,medium,1.0,1,sudden_drift/medium/recurring_sudden_friedman_100k_g00.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g00_drift_times.txt,3044969666
sudden,medium,1.0,2,sudden_drift/medium/recurring_sudden_friedman_100k_g01.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g01_drift_times.txt,2329706831
sudden,medium,1.0,3,sudden_drift/medium/recurring_sudden_friedman_100k_g02.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g02_drift_times.txt,2683261253
sudden,medium,1.0,4,sudden_drift/medium/recurring_sudden_friedman_100k_g03.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g03_drift_times.txt,3240287179
sudden,medium,1.0,5,sudden_drift/medium/recurring_sudden_friedman_100k_g04.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g04_drift_times.txt,723032962
sudden,medium,1.0,6,sudden_drift/medium/recurring_sudden_friedman_100k_g05.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g05_drift_times.txt,449400157
sudden,medium,1.0,7,sudden_drift/medium/recurring_sudden_friedman_100k_g06.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g06_drift_times.txt,39272357
sudden,medium,1.0,8,sudden_drift/medium/recurring_sudden_friedman_100k_g07.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g07_drift_times.txt,1806195442
sudden,medium,1.0,9,sudden_drift/medium/recurring_sudden_friedman_100k_g08.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g08_drift_times.txt,2753411024
sudden,medium,1.0,10,sudden_drift/medium/recurring_sudden_friedman_100k_g09.csv,sudden_drift/medium/recurring_sudden_friedman_100k_g09_drift_times.txt,3897647265
sudden,high,2.0,1,sudden_drift/high/recurring_sudden_friedman_100k_g00.csv,sudden_drift/high/recurring_sudden_friedman_100k_g00_drift_times.txt,2154303898
sudden,high,2.0,2,sudden_drift/high/recurring_sudden_friedman_100k_g01.csv,sudden_drift/high/recurring_sudden_friedman_100k_g01_drift_times.txt,3502250140
sudden,high,2.0,3,sudden_drift/high/recurring_sudden_friedman_100k_g02.csv,sudden_drift/high/recurring_sudden_friedman_100k_g02_drift_times.txt,3450196561
sudden,high,2.0,4,sudden_drift/high/recurring_sudden_friedman_100k_g03.csv,sudden_drift/high/recurring_sudden_friedman_100k_g03_drift_times.txt,2951371054
sudden,high,2.0,5,sudden_drift/high/recurring_sudden_friedman_100k_g04.csv,sudden_drift/high/recurring_sudden_friedman_100k_g04_drift_times.txt,762521406
sudden,high,2.0,6,sudden_drift/high/recurring_sudden_friedman_100k_g05.csv,sudden_drift/high/recurring_sudden_friedman_100k_g05_drift_times.txt,2979591361
sudden,high,2.0,7,sudden_drift/high/recurring_sudden_friedman_100k_g06.csv,sudden_drift/high/recurring_sudden_friedman_100k_g06_drift_times.txt,4085770543
sudden,high,2.0,8,sudden_drift/high/recurring_sudden_friedman_100k_g07.csv,sudden_drift/high/recurring_sudden_friedman_100k_g07_drift_times.txt,983859642
sudden,high,2.0,9,sudden_drift/high/recurring_sudden_friedman_100k_g08.csv,sudden_drift/high/recurring_sudden_friedman_100k_g08_drift_times.txt,2462565570
sudden,high,2.0,10,sudden_drift/high/recurring_sudden_friedman_100k_g09.csv,sudden_drift/high/recurring_sudden_friedman_100k_g09_drift_times.txt,3586941476
gradual,low,0.5,1,gradual_drift/low/recurring_gradual_friedman_100k_g00.csv,gradual_drift/low/recurring_gradual_friedman_100k_g00_drift_times.txt,1019128677
gradual,low,0.5,2,gradual_drift/low/recurring_gradual_friedman_100k_g01.csv,gradual_drift/low/recurring_gradual_friedman_100k_g01_drift_times.txt,295579137
gradual,low,0.5,3,gradual_drift/low/recurring_gradual_friedman_100k_g02.csv,gradual_drift/low/recurring_gradual_friedman_100k_g02_drift_times.txt,3162188940
gradual,low,0.5,4,gradual_drift/low/recurring_gradual_friedman_100k_g03.csv,gradual_drift/low/recurring_gradual_friedman_100k_g03_drift_times.txt,1094893215
gradual,low,0.5,5,gradual_drift/low/recurring_gradual_friedman_100k_g04.csv,gradual_drift/low/recurring_gradual_friedman_100k_g04_drift_times.txt,4074156398
gradual,low,0.5,6,gradual_drift/low/recurring_gradual_friedman_100k_g05.csv,gradual_drift/low/recurring_gradual_friedman_100k_g05_drift_times.txt,320552546
gradual,low,0.5,7,gradual_drift/low/recurring_gradual_friedman_100k_g06.csv,gradual_drift/low/recurring_gradual_friedman_100k_g06_drift_times.txt,1817487203
gradual,low,0.5,8,gradual_drift/low/recurring_gradual_friedman_100k_g07.csv,gradual_drift/low/recurring_gradual_friedman_100k_g07_drift_times.txt,631069087
gradual,low,0.5,9,gradual_drift/low/recurring_gradual_friedman_100k_g08.csv,gradual_drift/low/recurring_gradual_friedman_100k_g08_drift_times.txt,4083759369
gradual,low,0.5,10,gradual_drift/low/recurring_gradual_friedman_100k_g09.csv,gradual_drift/low/recurring_gradual_friedman_100k_g09_drift_times.txt,1547031675
gradual,medium,1.0,1,gradual_drift/medium/recurring_gradual_friedman_100k_g00.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g00_drift_times.txt,605350842
gradual,medium,1.0,2,gradual_drift/medium/recurring_gradual_friedman_100k_g01.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g01_drift_times.txt,2770617284
gradual,medium,1.0,3,gradual_drift/medium/recurring_gradual_friedman_100k_g02.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g02_drift_times.txt,4218675805
gradual,medium,1.0,4,gradual_drift/medium/recurring_gradual_friedman_100k_g03.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g03_drift_times.txt,842165265
gradual,medium,1.0,5,gradual_drift/medium/recurring_gradual_friedman_100k_g04.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g04_drift_times.txt,3676132635
gradual,medium,1.0,6,gradual_drift/medium/recurring_gradual_friedman_100k_g05.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g05_drift_times.txt,2130277348
gradual,medium,1.0,7,gradual_drift/medium/recurring_gradual_friedman_100k_g06.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g06_drift_times.txt,2766626246
gradual,medium,1.0,8,gradual_drift/medium/recurring_gradual_friedman_100k_g07.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g07_drift_times.txt,2961758880
gradual,medium,1.0,9,gradual_drift/medium/recurring_gradual_friedman_100k_g08.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g08_drift_times.txt,2115808543
gradual,medium,1.0,10,gradual_drift/medium/recurring_gradual_friedman_100k_g09.csv,gradual_drift/medium/recurring_gradual_friedman_100k_g09_drift_times.txt,3787309634
gradual,high,2.0,1,gradual_drift/high/recurring_gradual_friedman_100k_g00.csv,gradual_drift/high/recurring_gradual_friedman_100k_g00_drift_times.txt,528140800
gradual,high,2.0,2,gradual_drift/high/recurring_gradual_friedman_100k_g01.csv,gradual_drift/high/recurring_gradual_friedman_100k_g01_drift_times.txt,681099800
gradual,high,2.0,3,gradual_drift/high/recurring_gradual_friedman_100k_g02.csv,gradual_drift/high/recurring_gradual_friedman_100k_g02_drift_times.txt,3323471967
gradual,high,2.0,4,gradual_drift/high/recurring_gradual_friedman_100k_g03.csv,gradual_drift/high/recurring_gradual_friedman_100k_g03_drift_times.txt,2485405155
gradual,high,2.0,5,gradual_drift/high/recurring_gradual_friedman_100k_g04.csv,gradual_drift/high/recurring_gradual_friedman_100k_g04_drift_times.txt,3252969164
gradual,high,2.0,6,gradual_drift/high/recurring_gradual_friedman_100k_g05.csv,gradual_drift/high/recurring_gradual_friedman_100k_g05_drift_times.txt,181816362
gradual,high,2.0,7,gradual_drift/high/recurring_gradual_friedman_100k_g06.csv,gradual_drift/high/recurring_gradual_friedman_100k_g06_drift_times.txt,1214615442
gradual,high,2.0,8,gradual_drift/high/recurring_gradual_friedman_100k_g07.csv,gradual_drift/high/recurring_gradual_friedman_100k_g07_drift_times.txt,628493674
gradual,high,2.0,9,gradual_drift/high/recurring_gradual_friedman_100k_g08.csv,gradual_drift/high/recurring_gradual_friedman_100k_g08_drift_times.txt,3409073119
gradual,high,2.0,10,gradual_drift/high/recurring_gradual_friedman_100k_g09.csv,gradual_drift/high/recurring_gradual_friedman_100k_g09_drift_times.txt,3295205648
incremental,low,0.5,1,incremental_drift/low/recurring_incremental_friedman_100k_g00.csv,incremental_drift/low/recurring_incremental_friedman_100k_g00_drift_times.txt,2203676564
incremental,low,0.5,2,incremental_drift/low/recurring_incremental_friedman_100k_g01.csv,incremental_drift/low/recurring_incremental_friedman_100k_g01_drift_times.txt,3157814281
incremental,low,0.5,3,incremental_drift/low/recurring_incremental_friedman_100k_g02.csv,incremental_drift/low/recurring_incremental_friedman_100k_g02_drift_times.txt,4002032429
incremental,low,0.5,4,incremental_drift/low/recurring_incremental_friedman_100k_g03.csv,incremental_drift/low/recurring_incremental_friedman_100k_g03_drift_times.txt,3676700533
incremental,low,0.5,5,incremental_drift/low/recurring_incremental_friedman_100k_g04.csv,incremental_drift/low/recurring_incremental_friedman_100k_g04_drift_times.txt,2034514089
incremental,low,0.5,6,incremental_drift/low/recurring_incremental_friedman_100k_g05.csv,incremental_drift/low/recurring_incremental_friedman_100k_g05_drift_times.txt,808448868
incremental,low,0.5,7,incremental_drift/low/recurring_incremental_friedman_100k_g06.csv,incremental_drift/low/recurring_incremental_friedman_100k_g06_drift_times.txt,3873896801
incremental,low,0.5,8,incremental_drift/low/recurring_incremental_friedman_100k_g07.csv,incremental_drift/low/recurring_incremental_friedman_100k_g07_drift_times.txt,1056646489
incremental,low,0.5,9,incremental_drift/low/recurring_incremental_friedman_100k_g08.csv,incremental_drift/low/recurring_incremental_friedman_100k_g08_drift_times.txt,3641410236
incremental,low,0.5,10,incremental_drift/low/recurring_incremental_friedman_100k_g09.csv,incremental_drift/low/recurring_incremental_friedman_100k_g09_drift_times.txt,1622103047
incremental,medium,1.0,1,incremental_drift/medium/recurring_incremental_friedman_100k_g00.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g00_drift_times.txt,3708592281
incremental,medium,1.0,2,incremental_drift/medium/recurring_incremental_friedman_100k_g01.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g01_drift_times.txt,4283738753
incremental,medium,1.0,3,incremental_drift/medium/recurring_incremental_friedman_100k_g02.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g02_drift_times.txt,1481674435
incremental,medium,1.0,4,incremental_drift/medium/recurring_incremental_friedman_100k_g03.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g03_drift_times.txt,3541420529
incremental,medium,1.0,5,incremental_drift/medium/recurring_incremental_friedman_100k_g04.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g04_drift_times.txt,1710720039
incremental,medium,1.0,6,incremental_drift/medium/recurring_incremental_friedman_100k_g05.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g05_drift_times.txt,1068475692
incremental,medium,1.0,7,incremental_drift/medium/recurring_incremental_friedman_100k_g06.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g06_drift_times.txt,773634749
incremental,medium,1.0,8,incremental_drift/medium/recurring_incremental_friedman_100k_g07.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g07_drift_times.txt,2424388277
incremental,medium,1.0,9,incremental_drift/medium/recurring_incremental_friedman_100k_g08.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g08_drift_times.txt,2256664985
incremental,medium,1.0,10,incremental_drift/medium/recurring_incremental_friedman_100k_g09.csv,incremental_drift/medium/recurring_incremental_friedman_100k_g09_drift_times.txt,4013542261
incremental,high,2.0,1,incremental_drift/high/recurring_incremental_friedman_100k_g00.csv,incremental_drift/high/recurring_incremental_friedman_100k_g00_drift_times.txt,2334129804
incremental,high,2.0,2,incremental_drift/high/recurring_incremental_friedman_100k_g01.csv,incremental_drift/high/recurring_incremental_friedman_100k_g01_drift_times.txt,1297956981
incremental,high,2.0,3,incremental_drift/high/recurring_incremental_friedman_100k_g02.csv,incremental_drift/high/recurring_incremental_friedman_100k_g02_drift_times.txt,3558024361
