event_id,config_id,file,warning_t,confirmation_t,warning_to_confirm_age,source,best_idx,current_idx,collection_size,acc_current_on_warning,acc_best_on_warning,acc_new_on_warning,buffer_len,reuse_looked_better,acc_best_minus_new,gt_match,nearest_drift_start,confirmation_delay,prewarn_slope,prewarn_peak,prewarn_mean,n_leader_swaps,fresh_ever_led,final_leader_origin,duel_final_margin,duel_segment_len,reuse_survived,snapshot_matched_duel
uq_entropy_adwin::recurring_sud_sea100k_g00.csv::2535::4295,uq_entropy_adwin,recurring_sud_sea100k_g00.csv,2535,4295,1760,ecpf_detector_dual_adwin,0,1,2,0.9540034071550255,0.9540034071550255,0.9619534355479841,1761,0,-0.007950028392958552,FP,14476,-10181,-9.884163662472596e-05,0.9999989338542113,0.6391442576030139,3,1,fresh,1,1400,0,1
uq_entropy_adwin::recurring_sud_sea100k_g00.csv::5703::16487,uq_entropy_adwin,recurring_sud_sea100k_g00.csv,5703,16487,10784,ecpf_detector_dual_adwin,1,2,2,0.959573481687529,0.959573481687529,0.9573481687528975,10785,1,0.0022253129346314626,TP,14476,2011,-0.00011672098262169298,0.9999981751601008,0.6316952473429582,1,1,fresh,160,20100,0,0
uq_entropy_adwin::recurring_sud_sea100k_g00.csv::36615::41927,uq_entropy_adwin,recurring_sud_sea100k_g00.csv,36615,41927,5312,ecpf_detector_dual_adwin,1,3,3,0.9322416713721061,0.9373235460191982,0.9224543572369659,5313,1,0.014869188782232312,TP,40858,1069,-0.0001482654170646551,0.9999184555647117,0.5740228637997976,0,0,reused,78,11000,1,1
uq_entropy_adwin::recurring_sud_sea100k_g00.csv::52935::60039,uq_entropy_adwin,recurring_sud_sea100k_g00.csv,52935,60039,7104,ecpf_detector_dual_adwin,1,4,4,0.9387755102040817,0.9446868402533427,0.9486277269528501,7105,0,-0.003940886699507429,TP,57376,2663,-0.0004029107531032494,0.9999706419871748,0.5985347401666989,6,1,reused,43,8400,0,1
uq_entropy_adwin::recurring_sud_sea100k_g00.csv::68487::72743,uq_entropy_adwin,recurring_sud_sea100k_g00.csv,68487,72743,4256,ecpf_detector_dual_adwin,1,5,5,0.9187221047686164,0.9415081042988019,0.9588912379610054,4257,0,-0.017383133662203454,TP,71319,1424,1.014376599139713e-06,0.9999103293027348,0.5681590520229868,3,1,fresh,29,27250,0,1
uq_entropy_adwin::recurring_sud_sea100k_g01.csv::2183::2343,uq_entropy_adwin,recurring_sud_sea100k_g01.csv,2183,2343,160,ecpf_detector_dual_adwin,0,1,2,0.9751552795031055,0.9751552795031055,0.9565217391304348,161,1,0.01863354037267073,FP,4631,-2288,-0.00012806783878044673,0.9974474831080138,0.6352149150416346,10,1,reused,99,97650,0,0
uq_entropy_adwin::recurring_sud_sea100k_g02.csv::5703::9927,uq_entropy_adwin,recurring_sud_sea100k_g02.csv,5703,9927,4224,ecpf_detector_dual_adwin,0,1,2,0.9557396449704142,0.9557396449704142,0.9573964497041421,4225,0,-0.001656804733727868,FP,10693,-766,9.92469636667801e-05,0.9996375494947924,0.5794325662709292,7,1,fresh,0,3300,0,1
uq_entropy_adwin::recurring_sud_sea100k_g02.csv::13255::25703,uq_entropy_adwin,recurring_sud_sea100k_g02.csv,13255,25703,12448,ecpf_detector_dual_adwin,1,2,3,0.9272230701261146,0.9272230701261146,0.9483492650012049,12449,0,-0.021126194875090265,TP,23213,2490,8.754942445603825e-05,0.9999833575216897,0.6331898889611166,6,1,reused,12,3050,0,1
uq_entropy_adwin::recurring_sud_sea100k_g02.csv::28775::37575,uq_entropy_adwin,recurring_sud_sea100k_g02.csv,28775,37575,8800,ecpf_detector_dual_adwin,2,3,3,0.9418247926372003,0.9418247926372003,0.9414839222815589,8801,1,0.00034087035564145385,TP,36092,1483,-0.0002952584418178176,0.999511224821398,0.5918423359035446,1,1,fresh,24,2400,0,0
uq_entropy_adwin::recurring_sud_sea100k_g02.csv::40007::44807,uq_entropy_adwin,recurring_sud_sea100k_g02.csv,40007,44807,4800,ecpf_detector_dual_adwin,3,4,4,0.9552176629868777,0.9552176629868777,0.9550093730472818,4801,1,0.00020828993959587372,FP,51587,-6780,4.8171437974904055e-05,0.9992279093339026,0.6625518190626334,5,1,fresh,92,14900,0,0
uq_entropy_adwin::recurring_sud_sea100k_g02.csv::59719::71239,uq_entropy_adwin,recurring_sud_sea100k_g02.csv,59719,71239,11520,ecpf_detector_dual_adwin,3,5,5,0.9487023695859734,0.9513931082371322,0.9466192170818505,11521,1,0.0047738911552817065,TP,69710,1529,-1.528179052190797e-05,0.9998187808431779,0.5497742373907122,17,1,fresh,32,28750,0,0
uq_entropy_adwin::recurring_sud_sea100k_g03.csv::4007::6215,uq_entropy_adwin,recurring_sud_sea100k_g03.csv,4007,6215,2208,ecpf_detector_dual_adwin,0,1,2,0.965142598460842,0.965142598460842,0.9520144861928475,2209,1,0.013128112267994596,FP,8454,-2239,-0.00011299236996294256,0.99948497785687,0.6250918291867034,2,1,reused,12,3050,0,0
uq_entropy_adwin::recurring_sud_sea100k_g03.csv::9287::9287,uq_entropy_adwin,recurring_sud_sea100k_g03.csv,9287,9287,0,ecpf_detector_dual_adwin,0,2,2,1.0,1.0,1.0,1,1,0.0,FP,8454,833,-7.47100794391452e-05,0.9999663523132917,0.67189156882257,7,1,fresh,14,1800,0,0
uq_entropy_adwin::recurring_sud_sea100k_g03.csv::11111::11335,uq_entropy_adwin,recurring_sud_sea100k_g03.csv,11111,11335,224,ecpf_detector_dual_adwin,0,3,2,0.9244444444444444,0.9244444444444444,0.8711111111111111,225,1,0.053333333333333344,FP,8454,2881,-3.137799401500026e-05,0.9999530505953356,0.7007006021212424,13,1,fresh,35,8450,0,0
uq_entropy_adwin::recurring_sud_sea100k_g03.csv::19815::20231,uq_entropy_adwin,recurring_sud_sea100k_g03.csv,19815,20231,416,ecpf_detector_dual_adwin,0,4,3,0.9016786570743405,0.9592326139088729,0.9112709832134293,417,1,0.04796163069544368,FP,19297,934,0.0002507528619791083,0.9985091841491531,0.693073963420254,0,0,reused,115,14100,1,1
uq_entropy_adwin::recurring_sud_sea100k_g03.csv::34343::41351,uq_entropy_adwin,recurring_sud_sea100k_g03.csv,34343,41351,7008,ecpf_detector_dual_adwin,3,5,4,0.9389356541589385,0.9529176772720788,0.9299472107290626,7009,1,0.022970466543016155,TP,39513,1838,-5.4771171557322515e-05,0.9999982815824121,0.6959272205303507,3,1,fresh,36,2000,0,0
uq_entropy_adwin::recurring_sud_sea100k_g03.csv::43399::44551,uq_entropy_adwin,recurring_sud_sea100k_g03.csv,43399,44551,1152,ecpf_detector_dual_adwin,5,6,3,0.971379011274935,0.971379011274935,0.9670424978317432,1153,1,0.004336513443191747,FP,44854,-303,-0.0002821000288190431,0.9998095814654827,0.6208282148905697,3,1,fresh,33,2200,0,0
uq_entropy_adwin::recurring_sud_sea100k_g03.csv::46759::49159,uq_entropy_adwin,recurring_sud_sea100k_g03.csv,46759,49159,2400,ecpf_detector_dual_adwin,3,7,3,0.9670970428987922,0.9670970428987922,0.9816743023740109,2401,0,-0.014577259475218707,FP,44854,4305,0.00012043279833212883,0.9999996239174592,0.7073619723433425,4,1,reused,39,50800,0,1
uq_entropy_adwin::recurring_sud_sea100k_g04.csv::3783::3783,uq_entropy_adwin,recurring_sud_sea100k_g04.csv,3783,3783,0,ecpf_detector_dual_adwin,0,1,2,1.0,1.0,1.0,1,1,0.0,FP,18553,-14770,6.766540011421129e-05,0.9984187713708499,0.6634468193274197,0,0,reused,174,96200,1,1
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::14535::14663,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,14535,14663,128,ecpf_detector_dual_adwin,0,1,2,0.9069767441860465,0.9069767441860465,0.9224806201550387,129,0,-0.015503875968992276,FP,14788,-125,9.778263011621767e-05,0.9999952573490432,0.6453848040142242,5,1,fresh,15,850,0,1
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::15559::15815,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,15559,15815,256,ecpf_detector_dual_adwin,1,2,3,0.9416342412451362,0.9416342412451362,0.9610894941634242,257,0,-0.01945525291828798,FP,14788,1027,4.1256826515930254e-05,0.9999919503273207,0.7716815231950663,9,1,fresh,8,12600,0,1
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::28423::29607,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,28423,29607,1184,ecpf_detector_dual_adwin,0,3,4,0.9029535864978903,0.9071729957805907,0.9291139240506329,1185,0,-0.021940928270042126,FP,25836,3771,-0.0002751907802478853,0.9999777172953659,0.6575065241420623,7,1,fresh,21,10900,0,1
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::40519::42791,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,40519,42791,2272,ecpf_detector_dual_adwin,1,4,5,0.8464584249890014,0.9467663880334359,0.9736031676198856,2273,0,-0.0268367795864497,FP,38906,3885,-8.518697189907139e-05,0.9999926856870793,0.7183671467360283,4,1,reused,36,15350,0,1
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::58151::58471,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,58151,58471,320,ecpf_detector_dual_adwin,4,5,6,0.9657320872274143,0.9657320872274143,0.9345794392523364,321,1,0.031152647975077885,FP,63689,-5218,-5.8832039169134626e-05,0.9999048419410461,0.604669228888369,1,1,fresh,39,7250,0,0
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::65735::65767,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,65735,65767,32,ecpf_detector_dual_adwin,5,6,6,1.0,1.0,0.9090909090909091,33,1,0.09090909090909094,FP,63689,2078,0.0001323634474052281,0.9999996981628108,0.7306056477511702,1,1,fresh,42,4850,0,0
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::70663::73479,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,70663,73479,2816,ecpf_detector_dual_adwin,6,7,7,0.9566915157969471,0.9566915157969471,0.9094781682641108,2817,1,0.04721334753283635,TP,73316,163,3.9080216889824336e-05,0.9999450676803365,0.6743269708966773,1,1,fresh,62,2300,0,0
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::75783::75783,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,75783,75783,0,ecpf_detector_dual_adwin,0,8,7,1.0,1.0,1.0,1,1,0.0,FP,73316,2467,0.00016117436134855463,0.9999635216119623,0.5855067510258556,4,1,reused,13,200,0,0
uq_entropy_adwin::recurring_sud_sea100k_g05.csv::76007::83975,uq_entropy_adwin,recurring_sud_sea100k_g05.csv,76007,83975,7968,ecpf_detector_dual_adwin,4,9,7,0.8939641109298532,0.9104028108922073,0.8917053582632701,7969,1,0.018697452628937183,TP,81533,2442,,,,1,1,fresh,897,15950,0,0
uq_entropy_adwin::recurring_sud_sea100k_g06.csv::2247::3271,uq_entropy_adwin,recurring_sud_sea100k_g06.csv,2247,3271,1024,ecpf_detector_dual_adwin,0,1,2,0.9609756097560975,0.9609756097560975,0.9278048780487805,1025,1,0.03317073170731699,FP,12981,-9710,-5.62176804238028e-05,0.9999938834807389,0.6759228439323345,8,1,reused,79,96700,0,0
uq_entropy_adwin::recurring_sud_sea100k_g07.csv::7367::15559,uq_entropy_adwin,recurring_sud_sea100k_g07.csv,7367,15559,8192,ecpf_detector_dual_adwin,0,1,2,0.9541071646527524,0.9541071646527524,0.967655315513243,8193,0,-0.01354815086049066,TP,14736,823,0.00026545002246647137,0.9999978083638978,0.5841766405766499,2,1,reused,114,17500,0,1
uq_entropy_adwin::recurring_sud_sea100k_g07.csv::33063::49383,uq_entropy_adwin,recurring_sud_sea100k_g07.csv,33063,49383,16320,ecpf_detector_dual_adwin,0,2,2,0.9463880889651369,0.9463880889651369,0.9474909625635685,16321,0,-0.0011028735984315308,TP,50607,-1224,0.00014834778879670345,0.9999189753210056,0.5684024382612152,0,0,reused,40,4700,1,0
uq_entropy_adwin::recurring_sud_sea100k_g07.csv::54119::60647,uq_entropy_adwin,recurring_sud_sea100k_g07.csv,54119,60647,6528,ecpf_detector_dual_adwin,0,3,2,0.9522132026344003,0.9522132026344003,0.9447082248430081,6529,1,0.007504977791392253,TP,59907,740,-6.907572125725084e-05,0.9999725988205208,0.5737028917994175,0,0,reused,138,25400,1,1
uq_entropy_adwin::recurring_sud_sea100k_g07.csv::86055::86055,uq_entropy_adwin,recurring_sud_sea100k_g07.csv,86055,86055,0,ecpf_detector_dual_adwin,3,4,2,1.0,1.0,1.0,1,1,0.0,FP,89311,-3256,-1.7461155865294468e-05,0.9992596379010124,0.5902420866083378,1,1,fresh,48,13900,0,0
uq_entropy_adwin::recurring_sud_sea100k_g08.csv::1607::2247,uq_entropy_adwin,recurring_sud_sea100k_g08.csv,1607,2247,640,ecpf_detector_dual_adwin,0,1,2,0.9719188767550702,0.9719188767550702,0.9391575663026521,641,1,0.032761310452418035,FP,12151,-9904,-0.00022872476549643393,0.9999989149882356,0.7198559888269657,0,0,reused,16,1000,1,1
uq_entropy_adwin::recurring_sud_sea100k_g08.csv::3271::18631,uq_entropy_adwin,recurring_sud_sea100k_g08.csv,3271,18631,15360,ecpf_detector_dual_adwin,1,2,2,0.9634138402447757,0.9634138402447757,0.9703144326541241,15361,0,-0.006900592409348372,TP,12151,6480,0.00012136218939631045,0.9999999999375242,0.6650439834810492,1,1,fresh,57,4050,0,1
uq_entropy_adwin::recurring_sud_sea100k_g08.csv::22727::33991,uq_entropy_adwin,recurring_sud_sea100k_g08.csv,22727,33991,11264,ecpf_detector_dual_adwin,2,3,3,0.9732800710164226,0.9732800710164226,0.959254327563249,11265,1,0.014025743453173534,TP,30170,3821,-3.316969837392809e-05,0.9998284859910518,0.6563303500944315,7,1,fresh,46,66000,0,0
uq_entropy_adwin::recurring_sud_sea100k_g09.csv::5735::8391,uq_entropy_adwin,recurring_sud_sea100k_g09.csv,5735,8391,2656,ecpf_detector_dual_adwin,0,1,2,0.9382762514113662,0.9382762514113662,0.937147158449379,2657,1,0.0011290929619871548,TP,7989,402,0.0001204698360198546,0.9999897112427981,0.5852403720092139,1,1,fresh,357,37650,0,0
uq_entropy_adwin::recurring_sud_sea100k_g09.csv::46087::46727,uq_entropy_adwin,recurring_sud_sea100k_g09.csv,46087,46727,640,ecpf_detector_dual_adwin,1,2,3,0.9500780031201248,0.9500780031201248,0.9703588143525741,641,0,-0.020280811232449292,FP,51002,-4275,-9.376898280453876e-05,0.9999981073015807,0.6955970372309224,3,1,fresh,149,8350,0,1
uq_entropy_adwin::recurring_sud_sea100k_g09.csv::55111::55623,uq_entropy_adwin,recurring_sud_sea100k_g09.csv,55111,55623,512,ecpf_detector_dual_adwin,0,3,4,0.9181286549707602,0.949317738791423,0.9454191033138402,513,1,0.003898635477582846,FP,57655,-2032,0.00020782407329098405,0.9999954163490963,0.5938689371492327,3,1,fresh,5,1150,0,0
uq_entropy_adwin::recurring_sud_sea100k_g09.csv::56775::57991,uq_entropy_adwin,recurring_sud_sea100k_g09.csv,56775,57991,1216,ecpf_detector_dual_adwin,3,4,4,0.9309778142974527,0.9309778142974527,0.9285127362366475,1217,1,0.0024650780608052036,TP,57655,336,-0.00024609558172840546,0.9999854573715721,0.5322405423937806,1,1,fresh,69,11600,0,0
uq_entropy_adwin::recurring_sud_sea100k_g09.csv::69639::78343,uq_entropy_adwin,recurring_sud_sea100k_g09.csv,69639,78343,8704,ecpf_detector_dual_adwin,3,5,5,0.9010913268236646,0.9596783457782884,0.9658816771970132,8705,0,-0.006203331418724867,FP,83140,-4797,0.000115632089739457,0.9999999232350225,0.6251711740819912,1,1,fresh,57,2800,0,1
