file,samples,groundtruth_drift_count,groundtruth_drift_times,detected_drift_events,pool_alive_snapshots,prequential_accuracy,model_type
recurring_sud_sea100k_g00.csv,20000,1,14476,50,5,0.9403030303030303,hf
recurring_sud_sea100k_g01.csv,20000,2,4631 13318,31,9,0.9421717171717172,hf
recurring_sud_sea100k_g02.csv,20000,1,10693,59,6,0.9306565656565656,hf
recurring_sud_sea100k_g03.csv,20000,2,8454 19297,53,7,0.9448484848484848,hf
recurring_sud_sea100k_g04.csv,20000,1,18553,44,7,0.940050505050505,hf
recurring_sud_sea100k_g05.csv,20000,2,9764 14788,25,9,0.946969696969697,hf
recurring_sud_sea100k_g06.csv,20000,1,12981,32,10,0.9478282828282828,hf
recurring_sud_sea100k_g07.csv,20000,2,5095 14736,58,10,0.926060606060606,hf
recurring_sud_sea100k_g08.csv,20000,1,12151,25,7,0.9472222222222222,hf
recurring_sud_sea100k_g09.csv,20000,1,7989,34,9,0.930959595959596,hf
