file,samples,groundtruth_drift_count,groundtruth_drift_times,detected_drift_events,pool_alive_snapshots,prequential_accuracy,model_type,warning_detector,drift_detector,warning_signal,drift_signal,runtime_s,combo_runtime_s
recurring_sud_sea100k_g00.csv,20000,1,14476,2,2,0.9602020202020202,ht,adwin,adwin,error,error,1.9863055420000002,20.028368416000003
recurring_sud_sea100k_g01.csv,20000,2,4631 13318,1,2,0.951060606060606,ht,adwin,adwin,error,error,2.1245387499999997,20.028368416000003
recurring_sud_sea100k_g02.csv,20000,1,10693,3,2,0.9581313131313132,ht,adwin,adwin,error,error,2.2169029580000004,20.028368416000003
recurring_sud_sea100k_g03.csv,20000,2,8454 19297,2,2,0.9471212121212121,ht,adwin,adwin,error,error,1.704175874999999,20.028368416000003
recurring_sud_sea100k_g04.csv,20000,1,18553,2,2,0.9564646464646465,ht,adwin,adwin,error,error,1.9708345000000005,20.028368416000003
recurring_sud_sea100k_g05.csv,20000,2,9764 14788,5,3,0.9507070707070707,ht,adwin,adwin,error,error,1.8808917909999998,20.028368416000003
recurring_sud_sea100k_g06.csv,20000,1,12981,2,3,0.9558080808080808,ht,adwin,adwin,error,error,1.9448940829999994,20.028368416000003
recurring_sud_sea100k_g07.csv,20000,2,5095 14736,3,3,0.9614141414141414,ht,adwin,adwin,error,error,2.024769041999999,20.028368416000003
recurring_sud_sea100k_g08.csv,20000,1,12151,2,3,0.9558585858585859,ht,adwin,adwin,error,error,2.143419957999999,20.028368416000003
recurring_sud_sea100k_g09.csv,20000,1,7989,3,3,0.9461616161616162,ht,adwin,adwin,error,error,2.031130417,20.028368416000003
recurring_sud_sea100k_g00.csv,20000,1,14476,2,3,0.9611616161616162,hf,adwin,adwin,error,uq_mi,17.31584225,86.204206958
recurring_sud_sea100k_g01.csv,20000,2,4631 13318,0,1,0.9228282828282828,hf,adwin,adwin,error,uq_mi,2.6929108750000026,86.204206958
recurring_sud_sea100k_g02.csv,20000,1,10693,0,1,0.9173737373737374,hf,adwin,adwin,error,uq_mi,7.100334208999996,86.204206958
recurring_sud_sea100k_g03.csv,20000,2,8454 19297,0,1,0.9396969696969697,hf,adwin,adwin,error,uq_mi,6.1371893750000055,86.204206958
recurring_sud_sea100k_g04.csv,20000,1,18553,0,1,0.9607575757575758,hf,adwin,adwin,error,uq_mi,10.772304750000004,86.204206958
recurring_sud_sea100k_g05.csv,20000,2,9764 14788,0,1,0.9232828282828283,hf,adwin,adwin,error,uq_mi,3.3319687500000015,86.204206958
recurring_sud_sea100k_g06.csv,20000,1,12981,2,2,0.9296464646464646,hf,adwin,adwin,error,uq_mi,12.691485291999996,86.204206958
recurring_sud_sea100k_g07.csv,20000,2,5095 14736,0,1,0.9423737373737374,hf,adwin,adwin,error,uq_mi,9.421961459000002,86.204206958
recurring_sud_sea100k_g08.csv,20000,1,12151,1,2,0.9672222222222222,hf,adwin,adwin,error,uq_mi,12.947859542000003,86.204206958
recurring_sud_sea100k_g09.csv,20000,1,7989,0,1,0.8363131313131313,hf,adwin,adwin,error,uq_mi,3.7916742080000034,86.204206958
recurring_sud_sea100k_g00.csv,20000,1,14476,1,2,0.9572222222222222,hf,adwin,adwin,error,uq_vote,12.149952792000008,60.641499666
recurring_sud_sea100k_g01.csv,20000,2,4631 13318,0,1,0.9228282828282828,hf,adwin,adwin,error,uq_vote,2.5843209169999994,60.641499666
recurring_sud_sea100k_g02.csv,20000,1,10693,0,1,0.9173737373737374,hf,adwin,adwin,error,uq_vote,7.216799457999983,60.641499666
recurring_sud_sea100k_g03.csv,20000,2,8454 19297,1,2,0.9502525252525252,hf,adwin,adwin,error,uq_vote,13.341862124999977,60.641499666
recurring_sud_sea100k_g04.csv,20000,1,18553,0,1,0.9532828282828283,hf,adwin,adwin,error,uq_vote,3.872097834000016,60.641499666
recurring_sud_sea100k_g05.csv,20000,2,9764 14788,0,1,0.9232828282828283,hf,adwin,adwin,error,uq_vote,3.455472332999989,60.641499666
recurring_sud_sea100k_g06.csv,20000,1,12981,0,1,0.9242424242424242,hf,adwin,adwin,error,uq_vote,3.1643392089999907,60.641499666
recurring_sud_sea100k_g07.csv,20000,2,5095 14736,0,1,0.9437878787878788,hf,adwin,adwin,error,uq_vote,8.590012333999994,60.641499666
recurring_sud_sea100k_g08.csv,20000,1,12151,0,1,0.9406060606060606,hf,adwin,adwin,error,uq_vote,3.221225875000016,60.641499666
recurring_sud_sea100k_g09.csv,20000,1,7989,0,1,0.8571717171717171,hf,adwin,adwin,error,uq_vote,3.0446699999999964,60.641499666
recurring_sud_sea100k_g00.csv,20000,1,14476,1,2,0.9614141414141414,hf,adwin,adwin,error,uq_entropy,15.00216125,89.07868612499999
recurring_sud_sea100k_g01.csv,20000,2,4631 13318,0,1,0.9228282828282828,hf,adwin,adwin,error,uq_entropy,2.5549376660000007,89.07868612499999
recurring_sud_sea100k_g02.csv,20000,1,10693,1,2,0.9443939393939393,hf,adwin,adwin,error,uq_entropy,13.452256208999984,89.07868612499999
recurring_sud_sea100k_g03.csv,20000,2,8454 19297,1,2,0.9586363636363636,hf,adwin,adwin,error,uq_entropy,11.124322500000005,89.07868612499999
recurring_sud_sea100k_g04.csv,20000,1,18553,2,2,0.9626767676767677,hf,adwin,adwin,error,uq_entropy,16.192619709000013,89.07868612499999
recurring_sud_sea100k_g05.csv,20000,2,9764 14788,0,1,0.9232828282828283,hf,adwin,adwin,error,uq_entropy,3.221181042000012,89.07868612499999
recurring_sud_sea100k_g06.csv,20000,1,12981,1,2,0.9306565656565656,hf,adwin,adwin,error,uq_entropy,8.057278541000017,89.07868612499999
recurring_sud_sea100k_g07.csv,20000,2,5095 14736,0,1,0.9425757575757576,hf,adwin,adwin,error,uq_entropy,9.496968083000013,89.07868612499999
recurring_sud_sea100k_g08.csv,20000,1,12151,0,1,0.9642929292929293,hf,adwin,adwin,error,uq_entropy,6.9386534580000045,89.07868612499999
