file,samples,groundtruth_drift_count,groundtruth_drift_times,detected_drift_events,pool_alive_snapshots,prequential_accuracy,model_type,warning_detector,drift_detector,warning_signal,drift_signal,runtime_s,combo_runtime_s
recurring_sud_sea100k_g00.csv,500,0,,0,1,0.9166666666666666,ht,adwin,adwin,error,error,0.06390345800000019,0.4253021669999999
recurring_sud_sea100k_g01.csv,500,0,,0,1,0.9166666666666666,ht,adwin,adwin,error,error,0.04327358299999995,0.4253021669999999
recurring_sud_sea100k_g02.csv,500,0,,0,1,0.9333333333333333,ht,adwin,adwin,error,error,0.03818458300000005,0.4253021669999999
recurring_sud_sea100k_g03.csv,500,0,,0,1,0.9433333333333334,ht,adwin,adwin,error,error,0.04044633399999986,0.4253021669999999
recurring_sud_sea100k_g04.csv,500,0,,0,1,0.94,ht,adwin,adwin,error,error,0.03957245899999995,0.4253021669999999
recurring_sud_sea100k_g05.csv,500,0,,0,1,0.9466666666666667,ht,adwin,adwin,error,error,0.039920500000000025,0.4253021669999999
recurring_sud_sea100k_g06.csv,500,0,,0,1,0.9466666666666667,ht,adwin,adwin,error,error,0.03911520800000012,0.4253021669999999
recurring_sud_sea100k_g07.csv,500,0,,0,1,0.96,ht,adwin,adwin,error,error,0.03973795799999991,0.4253021669999999
recurring_sud_sea100k_g08.csv,500,0,,0,1,0.96,ht,adwin,adwin,error,error,0.04166083399999998,0.4253021669999999
recurring_sud_sea100k_g09.csv,500,0,,0,1,0.9366666666666666,ht,adwin,adwin,error,error,0.03926495799999996,0.4253021669999999
recurring_sud_sea100k_g00.csv,500,0,,0,1,0.9133333333333333,hf,adwin,adwin,error,uq_mi,0.24300104099999986,2.471382875
recurring_sud_sea100k_g01.csv,500,0,,0,1,0.8766666666666667,hf,adwin,adwin,error,uq_mi,0.24888654100000007,2.471382875
recurring_sud_sea100k_g02.csv,500,0,,0,1,0.9066666666666666,hf,adwin,adwin,error,uq_mi,0.2439529170000001,2.471382875
recurring_sud_sea100k_g03.csv,500,0,,0,1,0.9333333333333333,hf,adwin,adwin,error,uq_mi,0.24911879199999998,2.471382875
recurring_sud_sea100k_g04.csv,500,0,,0,1,0.9233333333333333,hf,adwin,adwin,error,uq_mi,0.24896016700000034,2.471382875
recurring_sud_sea100k_g05.csv,500,0,,0,1,0.92,hf,adwin,adwin,error,uq_mi,0.24572891699999966,2.471382875
recurring_sud_sea100k_g06.csv,500,0,,0,1,0.9,hf,adwin,adwin,error,uq_mi,0.25449416700000027,2.471382875
recurring_sud_sea100k_g07.csv,500,0,,0,1,0.9433333333333334,hf,adwin,adwin,error,uq_mi,0.24974129099999987,2.471382875
recurring_sud_sea100k_g08.csv,500,0,,0,1,0.8933333333333333,hf,adwin,adwin,error,uq_mi,0.2475296250000003,2.471382875
recurring_sud_sea100k_g09.csv,500,0,,0,1,0.8866666666666667,hf,adwin,adwin,error,uq_mi,0.239659917,2.471382875
